Numer of labeled samples:9958   AUC:0.779
Numer of labeled samples:17091   AUC:0.782
Numer of labeled samples:9221   AUC:0.748
Numer of labeled samples:7469   AUC:0.762
Numer of labeled samples:8502   AUC:0.724
Numer of labeled samples:5992   AUC:0.754
Numer of labeled samples:7519   AUC:0.714
Numer of labeled samples:5627   AUC:0.739
Numer of labeled samples:7157   AUC:0.708
Numer of labeled samples:5506   AUC:0.725
Numer of labeled samples:6395   AUC:0.667
Numer of labeled samples:6119   AUC:0.682
Numer of labeled samples:5834   AUC:0.640
Numer of labeled samples:5924   AUC:0.654
Numer of labeled samples:41876   AUC:0.627
Numer of labeled samples:5701   AUC:0.625
Numer of labeled samples:45356   AUC:0.618
Numer of labeled samples:46937   AUC:0.617
Numer of labeled samples:5409   AUC:0.602
Numer of labeled samples:5462   AUC:0.602
Numer of labeled samples:46740   AUC:0.598
Numer of labeled samples:5377   AUC:0.591
Numer of labeled samples:46674   AUC:0.590
Numer of labeled samples:47230   AUC:0.581
Numer of labeled samples:47017   AUC:0.580
Numer of labeled samples:47067   AUC:0.560
Numer of labeled samples:5380   AUC:0.566
Numer of labeled samples:5289   AUC:0.559
Numer of labeled samples:5339   AUC:0.567
Numer of labeled samples:46455   AUC:0.562
Numer of labeled samples:46934   AUC:0.564
Numer of labeled samples:5267   AUC:0.560
Numer of labeled samples:5337   AUC:0.564
Numer of labeled samples:45687   AUC:0.562
Numer of labeled samples:47246   AUC:0.563
Numer of labeled samples:5260   AUC:0.567
Numer of labeled samples:5237   AUC:0.566
Numer of labeled samples:5275   AUC:0.566
Numer of labeled samples:5231   AUC:0.566
Numer of labeled samples:5290   AUC:0.562
Numer of labeled samples:5277   AUC:0.565
Numer of labeled samples:5327   AUC:0.557
Numer of labeled samples:5189   AUC:0.563
Numer of labeled samples:5296   AUC:0.560
Numer of labeled samples:5221   AUC:0.559
Numer of labeled samples:5262   AUC:0.557
Numer of labeled samples:5166   AUC:0.559
Numer of labeled samples:5148   AUC:0.552
Numer of labeled samples:46225   AUC:0.562
Numer of labeled samples:5126   AUC:0.550
Numer of labeled samples:46234   AUC:0.559
Numer of labeled samples:46196   AUC:0.554
Numer of labeled samples:5218   AUC:0.556
Numer of labeled samples:5153   AUC:0.555
Numer of labeled samples:46085   AUC:0.554
Numer of labeled samples:46067   AUC:0.551
Numer of labeled samples:5131   AUC:0.550
Numer of labeled samples:5115   AUC:0.545
Numer of labeled samples:5132   AUC:0.549
Numer of labeled samples:46543   AUC:0.544
Numer of labeled samples:5158   AUC:0.546
Numer of labeled samples:47105   AUC:0.542
Numer of labeled samples:5171   AUC:0.540
Numer of labeled samples:5158   AUC:0.534
Numer of labeled samples:5208   AUC:0.538
Numer of labeled samples:5169   AUC:0.534
Numer of labeled samples:5247   AUC:0.539
Numer of labeled samples:5138   AUC:0.534
Numer of labeled samples:5199   AUC:0.536
Numer of labeled samples:5116   AUC:0.530
Numer of labeled samples:5214   AUC:0.534
Numer of labeled samples:47582   AUC:0.526
Numer of labeled samples:5188   AUC:0.535
Numer of labeled samples:5123   AUC:0.524
Numer of labeled samples:5154   AUC:0.538
Numer of labeled samples:5143   AUC:0.523
Numer of labeled samples:5123   AUC:0.537
Numer of labeled samples:47874   AUC:0.525
Numer of labeled samples:5173   AUC:0.539
Numer of labeled samples:5166   AUC:0.531
Numer of labeled samples:5170   AUC:0.538
Numer of labeled samples:47589   AUC:0.531
Numer of labeled samples:5123   AUC:0.537
Numer of labeled samples:5131   AUC:0.530
Numer of labeled samples:45873   AUC:0.533
Numer of labeled samples:5087   AUC:0.526
Numer of labeled samples:5132   AUC:0.535
Numer of labeled samples:5057   AUC:0.528
Numer of labeled samples:5096   AUC:0.532
Numer of labeled samples:46660   AUC:0.527
Numer of labeled samples:5149   AUC:0.535
Numer of labeled samples:46455   AUC:0.527
Numer of labeled samples:5181   AUC:0.529
Numer of labeled samples:5081   AUC:0.528
Numer of labeled samples:5190   AUC:0.530
Numer of labeled samples:46435   AUC:0.532
Numer of labeled samples:45047   AUC:0.531
Numer of labeled samples:46100   AUC:0.530
Numer of labeled samples:5184   AUC:0.534
Numer of labeled samples:5011   AUC:0.528
Numer of labeled samples:5227   AUC:0.533
Numer of labeled samples:5025   AUC:0.533
Numer of labeled samples:45828   AUC:0.538
Numer of labeled samples:5003   AUC:0.537
Numer of labeled samples:5264   AUC:0.541
Numer of labeled samples:46861   AUC:0.535
Numer of labeled samples:5192   AUC:0.543
Numer of labeled samples:5053   AUC:0.539
Numer of labeled samples:5164   AUC:0.540
Numer of labeled samples:46670   AUC:0.542
Numer of labeled samples:45363   AUC:0.541
Numer of labeled samples:5040   AUC:0.540
Numer of labeled samples:45097   AUC:0.541
Numer of labeled samples:46842   AUC:0.540
Numer of labeled samples:5153   AUC:0.539
Numer of labeled samples:5029   AUC:0.543
Numer of labeled samples:44319   AUC:0.536
Numer of labeled samples:46451   AUC:0.544
Numer of labeled samples:5190   AUC:0.535
Numer of labeled samples:5034   AUC:0.544
Numer of labeled samples:44406   AUC:0.534
Numer of labeled samples:46633   AUC:0.545
Numer of labeled samples:43509   AUC:0.535
Numer of labeled samples:46486   AUC:0.551
Numer of labeled samples:43970   AUC:0.537
Numer of labeled samples:46632   AUC:0.554
Numer of labeled samples:43224   AUC:0.542
Numer of labeled samples:5129   AUC:0.560
Numer of labeled samples:5201   AUC:0.547
Numer of labeled samples:5138   AUC:0.564
Numer of labeled samples:44762   AUC:0.546
Numer of labeled samples:5184   AUC:0.563
Numer of labeled samples:47573   AUC:0.547
Numer of labeled samples:5248   AUC:0.558
Numer of labeled samples:47546   AUC:0.547
Numer of labeled samples:47498   AUC:0.552
Numer of labeled samples:5156   AUC:0.548
Numer of labeled samples:47148   AUC:0.546
Numer of labeled samples:46817   AUC:0.544
Numer of labeled samples:46658   AUC:0.544
Numer of labeled samples:45823   AUC:0.542
Numer of labeled samples:46893   AUC:0.540
Numer of labeled samples:5159   AUC:0.541
Numer of labeled samples:46949   AUC:0.542
Numer of labeled samples:5210   AUC:0.542
Numer of labeled samples:5075   AUC:0.542
Numer of labeled samples:44612   AUC:0.540
Numer of labeled samples:5139   AUC:0.543
Numer of labeled samples:45422   AUC:0.540
Numer of labeled samples:5031   AUC:0.545
Numer of labeled samples:5083   AUC:0.547
Numer of labeled samples:47964   AUC:0.548
Numer of labeled samples:5064   AUC:0.547
Numer of labeled samples:4994   AUC:0.547
Numer of labeled samples:5025   AUC:0.548
Numer of labeled samples:4990   AUC:0.548
Numer of labeled samples:46741   AUC:0.550
Numer of labeled samples:5032   AUC:0.548
Numer of labeled samples:46478   AUC:0.552
Numer of labeled samples:47476   AUC:0.547
Numer of labeled samples:46245   AUC:0.549
Numer of labeled samples:5075   AUC:0.543
Numer of labeled samples:45866   AUC:0.547
Numer of labeled samples:47003   AUC:0.546
Numer of labeled samples:45913   AUC:0.547
Numer of labeled samples:46348   AUC:0.545
Numer of labeled samples:46529   AUC:0.551
Numer of labeled samples:5234   AUC:0.548
Numer of labeled samples:46649   AUC:0.554
Numer of labeled samples:5206   AUC:0.553
Numer of labeled samples:5104   AUC:0.555
