Numer of labeled samples:42148   AUC:0.728
Numer of labeled samples:44687   AUC:0.782
Numer of labeled samples:42081   AUC:0.922
Numer of labeled samples:41692   AUC:0.914
Numer of labeled samples:41928   AUC:0.943
Numer of labeled samples:41987   AUC:0.944
Numer of labeled samples:41991   AUC:0.953
Numer of labeled samples:41707   AUC:0.954
Numer of labeled samples:41758   AUC:0.952
Numer of labeled samples:41648   AUC:0.956
Numer of labeled samples:41707   AUC:0.955
Numer of labeled samples:41444   AUC:0.962
Numer of labeled samples:41535   AUC:0.949
Numer of labeled samples:41427   AUC:0.959
Numer of labeled samples:41608   AUC:0.955
Numer of labeled samples:41482   AUC:0.960
Numer of labeled samples:41590   AUC:0.950
Numer of labeled samples:41501   AUC:0.960
Numer of labeled samples:41689   AUC:0.953
Numer of labeled samples:41510   AUC:0.960
Numer of labeled samples:41714   AUC:0.954
Numer of labeled samples:41426   AUC:0.953
Numer of labeled samples:41647   AUC:0.950
Numer of labeled samples:41565   AUC:0.958
Numer of labeled samples:41597   AUC:0.951
Numer of labeled samples:41576   AUC:0.955
Numer of labeled samples:41675   AUC:0.951
Numer of labeled samples:41548   AUC:0.953
Numer of labeled samples:41674   AUC:0.949
Numer of labeled samples:41617   AUC:0.954
Numer of labeled samples:41652   AUC:0.950
Numer of labeled samples:41593   AUC:0.951
Numer of labeled samples:41609   AUC:0.947
Numer of labeled samples:41625   AUC:0.958
Numer of labeled samples:41673   AUC:0.949
Numer of labeled samples:41586   AUC:0.959
Numer of labeled samples:41633   AUC:0.949
Numer of labeled samples:41587   AUC:0.955
Numer of labeled samples:41688   AUC:0.946
Numer of labeled samples:41594   AUC:0.954
Numer of labeled samples:41629   AUC:0.944
Numer of labeled samples:41638   AUC:0.950
Numer of labeled samples:41686   AUC:0.946
Numer of labeled samples:41594   AUC:0.954
Numer of labeled samples:41658   AUC:0.950
Numer of labeled samples:41626   AUC:0.950
Numer of labeled samples:41660   AUC:0.948
Numer of labeled samples:41632   AUC:0.949
Numer of labeled samples:41648   AUC:0.942
Numer of labeled samples:41654   AUC:0.950
Numer of labeled samples:41659   AUC:0.946
Numer of labeled samples:41630   AUC:0.951
Numer of labeled samples:41660   AUC:0.941
Numer of labeled samples:41637   AUC:0.948
Numer of labeled samples:41620   AUC:0.943
Numer of labeled samples:41624   AUC:0.948
Numer of labeled samples:41653   AUC:0.943
Numer of labeled samples:41651   AUC:0.946
Numer of labeled samples:41644   AUC:0.945
Numer of labeled samples:41624   AUC:0.946
Numer of labeled samples:41647   AUC:0.946
Numer of labeled samples:41628   AUC:0.947
Numer of labeled samples:41652   AUC:0.938
Numer of labeled samples:41633   AUC:0.949
Numer of labeled samples:41633   AUC:0.940
Numer of labeled samples:41643   AUC:0.944
Numer of labeled samples:41653   AUC:0.941
Numer of labeled samples:41650   AUC:0.947
Numer of labeled samples:41639   AUC:0.943
Numer of labeled samples:41646   AUC:0.947
Numer of labeled samples:41626   AUC:0.938
Numer of labeled samples:41620   AUC:0.941
Numer of labeled samples:41637   AUC:0.945
Numer of labeled samples:41612   AUC:0.947
Numer of labeled samples:41630   AUC:0.937
Numer of labeled samples:41626   AUC:0.943
Numer of labeled samples:41644   AUC:0.943
Numer of labeled samples:41624   AUC:0.947
Numer of labeled samples:41636   AUC:0.943
Numer of labeled samples:41629   AUC:0.945
Numer of labeled samples:41652   AUC:0.942
Numer of labeled samples:41632   AUC:0.950
Numer of labeled samples:41650   AUC:0.942
Numer of labeled samples:41629   AUC:0.939
Numer of labeled samples:41637   AUC:0.945
Numer of labeled samples:41636   AUC:0.947
Numer of labeled samples:41648   AUC:0.937
Numer of labeled samples:41578   AUC:0.936
Numer of labeled samples:41648   AUC:0.941
Numer of labeled samples:41628   AUC:0.939
Numer of labeled samples:41604   AUC:0.945
Numer of labeled samples:41614   AUC:0.938
Numer of labeled samples:41631   AUC:0.941
Numer of labeled samples:41600   AUC:0.938
Numer of labeled samples:41624   AUC:0.936
Numer of labeled samples:41549   AUC:0.934
Numer of labeled samples:41612   AUC:0.938
Numer of labeled samples:41609   AUC:0.937
Numer of labeled samples:41619   AUC:0.935
Numer of labeled samples:41592   AUC:0.940
Numer of labeled samples:41626   AUC:0.940
Numer of labeled samples:41612   AUC:0.939
Numer of labeled samples:41622   AUC:0.936
Numer of labeled samples:41609   AUC:0.934
Numer of labeled samples:41596   AUC:0.938
Numer of labeled samples:41599   AUC:0.943
Numer of labeled samples:41604   AUC:0.934
Numer of labeled samples:41618   AUC:0.940
Numer of labeled samples:41606   AUC:0.937
Numer of labeled samples:41581   AUC:0.938
Numer of labeled samples:41630   AUC:0.937
Numer of labeled samples:41582   AUC:0.936
Numer of labeled samples:41607   AUC:0.940
Numer of labeled samples:41612   AUC:0.941
Numer of labeled samples:41612   AUC:0.941
Numer of labeled samples:41610   AUC:0.942
Numer of labeled samples:41620   AUC:0.937
Numer of labeled samples:41600   AUC:0.946
Numer of labeled samples:41614   AUC:0.937
Numer of labeled samples:41619   AUC:0.940
Numer of labeled samples:41628   AUC:0.941
Numer of labeled samples:41596   AUC:0.935
Numer of labeled samples:41598   AUC:0.940
Numer of labeled samples:41601   AUC:0.939
Numer of labeled samples:41560   AUC:0.937
Numer of labeled samples:41598   AUC:0.941
Numer of labeled samples:41601   AUC:0.943
Numer of labeled samples:41593   AUC:0.937
Numer of labeled samples:41600   AUC:0.939
Numer of labeled samples:41579   AUC:0.941
Numer of labeled samples:41605   AUC:0.934
