Numer of labeled samples:11088   AUC:0.866
Numer of labeled samples:11713   AUC:0.879
Numer of labeled samples:22101   AUC:0.887
Numer of labeled samples:21021   AUC:0.881
Numer of labeled samples:24860   AUC:0.887
Numer of labeled samples:24464   AUC:0.897
Numer of labeled samples:25811   AUC:0.903
Numer of labeled samples:26362   AUC:0.897
Numer of labeled samples:26920   AUC:0.896
Numer of labeled samples:26139   AUC:0.906
Numer of labeled samples:28470   AUC:0.911
Numer of labeled samples:28038   AUC:0.917
Numer of labeled samples:28934   AUC:0.914
Numer of labeled samples:28468   AUC:0.921
Numer of labeled samples:30497   AUC:0.922
Numer of labeled samples:29411   AUC:0.917
Numer of labeled samples:30013   AUC:0.923
Numer of labeled samples:29345   AUC:0.928
Numer of labeled samples:28879   AUC:0.928
Numer of labeled samples:30199   AUC:0.929
Numer of labeled samples:29820   AUC:0.934
Numer of labeled samples:28635   AUC:0.934
Numer of labeled samples:26885   AUC:0.936
Numer of labeled samples:28926   AUC:0.942
Numer of labeled samples:27056   AUC:0.936
Numer of labeled samples:27320   AUC:0.941
Numer of labeled samples:25413   AUC:0.938
Numer of labeled samples:25195   AUC:0.942
Numer of labeled samples:23834   AUC:0.942
Numer of labeled samples:23947   AUC:0.939
Numer of labeled samples:23487   AUC:0.944
Numer of labeled samples:23271   AUC:0.943
Numer of labeled samples:23022   AUC:0.951
Numer of labeled samples:22881   AUC:0.940
Numer of labeled samples:21917   AUC:0.944
Numer of labeled samples:22356   AUC:0.949
Numer of labeled samples:21816   AUC:0.944
Numer of labeled samples:22226   AUC:0.946
Numer of labeled samples:22167   AUC:0.952
Numer of labeled samples:22053   AUC:0.945
Numer of labeled samples:21794   AUC:0.950
Numer of labeled samples:22047   AUC:0.956
Numer of labeled samples:21449   AUC:0.957
Numer of labeled samples:21291   AUC:0.949
Numer of labeled samples:20268   AUC:0.952
Numer of labeled samples:20705   AUC:0.956
Numer of labeled samples:21240   AUC:0.959
Numer of labeled samples:20241   AUC:0.957
Numer of labeled samples:20850   AUC:0.955
Numer of labeled samples:21392   AUC:0.961
Numer of labeled samples:21071   AUC:0.959
Numer of labeled samples:20035   AUC:0.957
Numer of labeled samples:20217   AUC:0.962
Numer of labeled samples:20250   AUC:0.961
Numer of labeled samples:20055   AUC:0.966
Numer of labeled samples:19893   AUC:0.965
Numer of labeled samples:20135   AUC:0.967
Numer of labeled samples:19776   AUC:0.964
Numer of labeled samples:18749   AUC:0.970
Numer of labeled samples:19700   AUC:0.965
Numer of labeled samples:19373   AUC:0.970
Numer of labeled samples:18895   AUC:0.971
Numer of labeled samples:19378   AUC:0.970
Numer of labeled samples:18823   AUC:0.972
Numer of labeled samples:19386   AUC:0.973
Numer of labeled samples:19316   AUC:0.968
Numer of labeled samples:18718   AUC:0.970
Numer of labeled samples:18661   AUC:0.975
Numer of labeled samples:18542   AUC:0.972
Numer of labeled samples:19084   AUC:0.968
Numer of labeled samples:18641   AUC:0.973
Numer of labeled samples:18141   AUC:0.974
Numer of labeled samples:19148   AUC:0.973
Numer of labeled samples:18412   AUC:0.974
Numer of labeled samples:18115   AUC:0.975
Numer of labeled samples:18900   AUC:0.970
Numer of labeled samples:18594   AUC:0.975
Numer of labeled samples:17660   AUC:0.973
Numer of labeled samples:15110   AUC:0.977
Numer of labeled samples:17476   AUC:0.975
Numer of labeled samples:17412   AUC:0.978
Numer of labeled samples:14359   AUC:0.974
Numer of labeled samples:14155   AUC:0.977
Numer of labeled samples:14868   AUC:0.979
Numer of labeled samples:14294   AUC:0.978
Numer of labeled samples:14120   AUC:0.977
Numer of labeled samples:13881   AUC:0.979
Numer of labeled samples:13950   AUC:0.980
Numer of labeled samples:13731   AUC:0.980
Numer of labeled samples:13868   AUC:0.976
Numer of labeled samples:13832   AUC:0.981
Numer of labeled samples:13891   AUC:0.977
Numer of labeled samples:13841   AUC:0.980
Numer of labeled samples:13595   AUC:0.981
Numer of labeled samples:13628   AUC:0.978
Numer of labeled samples:13719   AUC:0.982
Numer of labeled samples:13777   AUC:0.981
Numer of labeled samples:13640   AUC:0.980
Numer of labeled samples:13691   AUC:0.977
Numer of labeled samples:13726   AUC:0.981
Numer of labeled samples:13631   AUC:0.979
Numer of labeled samples:13632   AUC:0.978
Numer of labeled samples:13738   AUC:0.979
Numer of labeled samples:13778   AUC:0.979
Numer of labeled samples:13697   AUC:0.982
Numer of labeled samples:13808   AUC:0.981
Numer of labeled samples:13637   AUC:0.981
Numer of labeled samples:14059   AUC:0.980
Numer of labeled samples:13644   AUC:0.983
Numer of labeled samples:13682   AUC:0.982
Numer of labeled samples:13681   AUC:0.984
Numer of labeled samples:13768   AUC:0.983
Numer of labeled samples:13738   AUC:0.983
Numer of labeled samples:13563   AUC:0.982
Numer of labeled samples:13623   AUC:0.981
Numer of labeled samples:13642   AUC:0.981
Numer of labeled samples:13644   AUC:0.984
Numer of labeled samples:13723   AUC:0.981
Numer of labeled samples:13649   AUC:0.984
Numer of labeled samples:13599   AUC:0.982
Numer of labeled samples:13648   AUC:0.983
Numer of labeled samples:13631   AUC:0.983
Numer of labeled samples:13658   AUC:0.984
Numer of labeled samples:13546   AUC:0.981
Numer of labeled samples:13721   AUC:0.985
Numer of labeled samples:13605   AUC:0.983
Numer of labeled samples:13602   AUC:0.984
Numer of labeled samples:13532   AUC:0.983
Numer of labeled samples:13656   AUC:0.985
Numer of labeled samples:13550   AUC:0.984
Numer of labeled samples:13654   AUC:0.985
Numer of labeled samples:13785   AUC:0.985
Numer of labeled samples:13683   AUC:0.985
Numer of labeled samples:13646   AUC:0.985
Numer of labeled samples:13618   AUC:0.983
Numer of labeled samples:13670   AUC:0.985
Numer of labeled samples:13714   AUC:0.984
Numer of labeled samples:13665   AUC:0.985
Numer of labeled samples:13724   AUC:0.988
Numer of labeled samples:13650   AUC:0.984
Numer of labeled samples:13756   AUC:0.986
Numer of labeled samples:13746   AUC:0.985
Numer of labeled samples:13698   AUC:0.985
Numer of labeled samples:13775   AUC:0.985
Numer of labeled samples:13715   AUC:0.985
Numer of labeled samples:13783   AUC:0.985
Numer of labeled samples:13701   AUC:0.986
Numer of labeled samples:13688   AUC:0.986
Numer of labeled samples:13704   AUC:0.985
Numer of labeled samples:13624   AUC:0.981
Numer of labeled samples:13749   AUC:0.987
Numer of labeled samples:13709   AUC:0.985
Numer of labeled samples:13813   AUC:0.987
Numer of labeled samples:13816   AUC:0.986
Numer of labeled samples:13824   AUC:0.987
Numer of labeled samples:13805   AUC:0.988
Numer of labeled samples:13760   AUC:0.987
Numer of labeled samples:13754   AUC:0.985
Numer of labeled samples:13827   AUC:0.986
Numer of labeled samples:13677   AUC:0.986
Numer of labeled samples:13749   AUC:0.986
Numer of labeled samples:13787   AUC:0.983
Numer of labeled samples:13777   AUC:0.986
Numer of labeled samples:13744   AUC:0.986
Numer of labeled samples:13748   AUC:0.986
Numer of labeled samples:13703   AUC:0.986
Numer of labeled samples:13824   AUC:0.984
Numer of labeled samples:13763   AUC:0.986
Numer of labeled samples:13764   AUC:0.986
Numer of labeled samples:13769   AUC:0.985
Numer of labeled samples:13739   AUC:0.986
Numer of labeled samples:13814   AUC:0.987
Numer of labeled samples:13785   AUC:0.987
Numer of labeled samples:13748   AUC:0.984
Numer of labeled samples:13763   AUC:0.984
Numer of labeled samples:13691   AUC:0.985
Numer of labeled samples:13833   AUC:0.987
Numer of labeled samples:13772   AUC:0.987
Numer of labeled samples:13825   AUC:0.986
Numer of labeled samples:13921   AUC:0.987
Numer of labeled samples:13837   AUC:0.987
Numer of labeled samples:13876   AUC:0.986
