Numer of labeled samples:24596   AUC:0.957
Numer of labeled samples:24135   AUC:0.953
Numer of labeled samples:26412   AUC:0.962
Numer of labeled samples:25385   AUC:0.970
Numer of labeled samples:24567   AUC:0.970
Numer of labeled samples:24407   AUC:0.969
Numer of labeled samples:24433   AUC:0.972
Numer of labeled samples:24204   AUC:0.970
Numer of labeled samples:24556   AUC:0.971
Numer of labeled samples:24109   AUC:0.969
Numer of labeled samples:24342   AUC:0.971
Numer of labeled samples:23952   AUC:0.968
Numer of labeled samples:24033   AUC:0.970
Numer of labeled samples:24402   AUC:0.974
Numer of labeled samples:24376   AUC:0.972
Numer of labeled samples:24792   AUC:0.974
Numer of labeled samples:24312   AUC:0.972
Numer of labeled samples:24583   AUC:0.974
Numer of labeled samples:24725   AUC:0.977
Numer of labeled samples:24209   AUC:0.973
Numer of labeled samples:24322   AUC:0.974
Numer of labeled samples:24471   AUC:0.977
Numer of labeled samples:24642   AUC:0.977
Numer of labeled samples:24707   AUC:0.974
Numer of labeled samples:24939   AUC:0.979
Numer of labeled samples:24769   AUC:0.979
Numer of labeled samples:25090   AUC:0.980
Numer of labeled samples:24842   AUC:0.981
Numer of labeled samples:24917   AUC:0.983
Numer of labeled samples:24921   AUC:0.981
Numer of labeled samples:24906   AUC:0.980
Numer of labeled samples:25039   AUC:0.981
Numer of labeled samples:25272   AUC:0.981
Numer of labeled samples:24986   AUC:0.981
Numer of labeled samples:24950   AUC:0.983
Numer of labeled samples:25046   AUC:0.981
Numer of labeled samples:25087   AUC:0.984
Numer of labeled samples:25126   AUC:0.982
Numer of labeled samples:25575   AUC:0.984
Numer of labeled samples:25077   AUC:0.983
Numer of labeled samples:25240   AUC:0.984
Numer of labeled samples:25046   AUC:0.984
Numer of labeled samples:25486   AUC:0.985
Numer of labeled samples:25205   AUC:0.984
Numer of labeled samples:25642   AUC:0.986
Numer of labeled samples:25283   AUC:0.983
Numer of labeled samples:25516   AUC:0.986
Numer of labeled samples:25696   AUC:0.984
Numer of labeled samples:25588   AUC:0.984
Numer of labeled samples:25630   AUC:0.987
Numer of labeled samples:25556   AUC:0.984
Numer of labeled samples:25745   AUC:0.986
Numer of labeled samples:25714   AUC:0.987
Numer of labeled samples:25719   AUC:0.988
Numer of labeled samples:25932   AUC:0.989
Numer of labeled samples:25591   AUC:0.987
Numer of labeled samples:25689   AUC:0.987
Numer of labeled samples:25352   AUC:0.986
Numer of labeled samples:25718   AUC:0.987
Numer of labeled samples:25540   AUC:0.985
Numer of labeled samples:25954   AUC:0.987
Numer of labeled samples:25827   AUC:0.987
Numer of labeled samples:25857   AUC:0.988
Numer of labeled samples:25718   AUC:0.987
Numer of labeled samples:25809   AUC:0.988
Numer of labeled samples:25828   AUC:0.988
Numer of labeled samples:25693   AUC:0.986
Numer of labeled samples:25686   AUC:0.987
Numer of labeled samples:25786   AUC:0.988
Numer of labeled samples:25695   AUC:0.987
Numer of labeled samples:25828   AUC:0.989
Numer of labeled samples:25757   AUC:0.988
Numer of labeled samples:25746   AUC:0.989
Numer of labeled samples:25814   AUC:0.989
Numer of labeled samples:25917   AUC:0.989
Numer of labeled samples:25889   AUC:0.989
Numer of labeled samples:25956   AUC:0.988
Numer of labeled samples:25957   AUC:0.990
Numer of labeled samples:26011   AUC:0.990
Numer of labeled samples:25764   AUC:0.988
Numer of labeled samples:26034   AUC:0.989
Numer of labeled samples:25993   AUC:0.989
Numer of labeled samples:25762   AUC:0.988
Numer of labeled samples:25933   AUC:0.990
Numer of labeled samples:25868   AUC:0.990
Numer of labeled samples:25853   AUC:0.990
Numer of labeled samples:26062   AUC:0.990
Numer of labeled samples:25976   AUC:0.990
Numer of labeled samples:26026   AUC:0.990
Numer of labeled samples:25907   AUC:0.988
Numer of labeled samples:26048   AUC:0.991
Numer of labeled samples:26160   AUC:0.990
Numer of labeled samples:26095   AUC:0.989
Numer of labeled samples:26035   AUC:0.989
Numer of labeled samples:26119   AUC:0.991
Numer of labeled samples:26056   AUC:0.991
Numer of labeled samples:25999   AUC:0.989
Numer of labeled samples:26020   AUC:0.990
Numer of labeled samples:26000   AUC:0.989
Numer of labeled samples:25782   AUC:0.986
Numer of labeled samples:26076   AUC:0.989
Numer of labeled samples:25987   AUC:0.988
Numer of labeled samples:26054   AUC:0.989
Numer of labeled samples:26164   AUC:0.991
Numer of labeled samples:26163   AUC:0.990
Numer of labeled samples:25966   AUC:0.989
Numer of labeled samples:26171   AUC:0.991
Numer of labeled samples:26230   AUC:0.991
Numer of labeled samples:26157   AUC:0.990
Numer of labeled samples:26137   AUC:0.992
Numer of labeled samples:26099   AUC:0.990
Numer of labeled samples:26187   AUC:0.989
Numer of labeled samples:26150   AUC:0.991
Numer of labeled samples:26183   AUC:0.990
Numer of labeled samples:26052   AUC:0.989
Numer of labeled samples:26119   AUC:0.990
Numer of labeled samples:26097   AUC:0.988
Numer of labeled samples:26043   AUC:0.989
Numer of labeled samples:26162   AUC:0.990
Numer of labeled samples:25985   AUC:0.990
Numer of labeled samples:26168   AUC:0.989
Numer of labeled samples:26160   AUC:0.990
Numer of labeled samples:26208   AUC:0.990
Numer of labeled samples:26130   AUC:0.989
Numer of labeled samples:26241   AUC:0.990
Numer of labeled samples:26200   AUC:0.991
Numer of labeled samples:26192   AUC:0.991
Numer of labeled samples:26213   AUC:0.990
Numer of labeled samples:26299   AUC:0.991
Numer of labeled samples:26141   AUC:0.991
Numer of labeled samples:26281   AUC:0.991
Numer of labeled samples:26167   AUC:0.990
Numer of labeled samples:26274   AUC:0.989
Numer of labeled samples:26332   AUC:0.992
Numer of labeled samples:26438   AUC:0.991
Numer of labeled samples:26199   AUC:0.988
Numer of labeled samples:26278   AUC:0.989
Numer of labeled samples:26235   AUC:0.990
Numer of labeled samples:26371   AUC:0.989
Numer of labeled samples:26266   AUC:0.991
Numer of labeled samples:26264   AUC:0.990
Numer of labeled samples:26060   AUC:0.989
Numer of labeled samples:26337   AUC:0.990
Numer of labeled samples:26368   AUC:0.992
Numer of labeled samples:26265   AUC:0.990
Numer of labeled samples:26264   AUC:0.991
Numer of labeled samples:26379   AUC:0.990
Numer of labeled samples:26139   AUC:0.989
Numer of labeled samples:26298   AUC:0.990
Numer of labeled samples:26257   AUC:0.992
Numer of labeled samples:26261   AUC:0.990
Numer of labeled samples:26229   AUC:0.991
Numer of labeled samples:26389   AUC:0.992
Numer of labeled samples:26480   AUC:0.991
Numer of labeled samples:26295   AUC:0.991
Numer of labeled samples:26359   AUC:0.990
Numer of labeled samples:26245   AUC:0.991
Numer of labeled samples:26249   AUC:0.992
Numer of labeled samples:26368   AUC:0.991
Numer of labeled samples:26359   AUC:0.992
Numer of labeled samples:26481   AUC:0.991
Numer of labeled samples:26412   AUC:0.993
Numer of labeled samples:26531   AUC:0.993
Numer of labeled samples:26359   AUC:0.990
Numer of labeled samples:26397   AUC:0.992
Numer of labeled samples:26440   AUC:0.993
Numer of labeled samples:26400   AUC:0.991
Numer of labeled samples:26348   AUC:0.992
Numer of labeled samples:26427   AUC:0.991
Numer of labeled samples:26339   AUC:0.991
Numer of labeled samples:26256   AUC:0.989
Numer of labeled samples:26400   AUC:0.990
Numer of labeled samples:26451   AUC:0.992
Numer of labeled samples:26354   AUC:0.991
Numer of labeled samples:26386   AUC:0.990
Numer of labeled samples:26507   AUC:0.990
Numer of labeled samples:26294   AUC:0.990
Numer of labeled samples:26291   AUC:0.990
Numer of labeled samples:26317   AUC:0.990
Numer of labeled samples:26431   AUC:0.991
Numer of labeled samples:26437   AUC:0.992
Numer of labeled samples:26266   AUC:0.989
