Numer of labeled samples:24736   AUC:0.964
Numer of labeled samples:23724   AUC:0.947
Numer of labeled samples:24454   AUC:0.968
Numer of labeled samples:24690   AUC:0.970
Numer of labeled samples:23778   AUC:0.966
Numer of labeled samples:24118   AUC:0.969
Numer of labeled samples:24328   AUC:0.970
Numer of labeled samples:24110   AUC:0.969
Numer of labeled samples:23867   AUC:0.971
Numer of labeled samples:23580   AUC:0.970
Numer of labeled samples:24102   AUC:0.972
Numer of labeled samples:24042   AUC:0.973
Numer of labeled samples:24537   AUC:0.974
Numer of labeled samples:24073   AUC:0.972
Numer of labeled samples:24434   AUC:0.976
Numer of labeled samples:24458   AUC:0.974
Numer of labeled samples:24051   AUC:0.974
Numer of labeled samples:24539   AUC:0.975
Numer of labeled samples:24615   AUC:0.975
Numer of labeled samples:24140   AUC:0.973
Numer of labeled samples:24608   AUC:0.980
Numer of labeled samples:24472   AUC:0.978
Numer of labeled samples:24544   AUC:0.978
Numer of labeled samples:24677   AUC:0.979
Numer of labeled samples:24557   AUC:0.980
Numer of labeled samples:24299   AUC:0.976
Numer of labeled samples:24712   AUC:0.980
Numer of labeled samples:24473   AUC:0.979
Numer of labeled samples:24941   AUC:0.981
Numer of labeled samples:24694   AUC:0.978
Numer of labeled samples:24753   AUC:0.979
Numer of labeled samples:24963   AUC:0.980
Numer of labeled samples:24903   AUC:0.981
Numer of labeled samples:24844   AUC:0.982
Numer of labeled samples:25147   AUC:0.982
Numer of labeled samples:24972   AUC:0.981
Numer of labeled samples:25131   AUC:0.983
Numer of labeled samples:24913   AUC:0.982
Numer of labeled samples:25252   AUC:0.980
Numer of labeled samples:25157   AUC:0.981
Numer of labeled samples:25487   AUC:0.985
Numer of labeled samples:25142   AUC:0.984
Numer of labeled samples:25127   AUC:0.985
Numer of labeled samples:25311   AUC:0.984
Numer of labeled samples:25158   AUC:0.984
Numer of labeled samples:25213   AUC:0.984
Numer of labeled samples:25326   AUC:0.985
