Numer of labeled samples:23412   AUC:0.944
Numer of labeled samples:24690   AUC:0.960
Numer of labeled samples:25009   AUC:0.964
Numer of labeled samples:24714   AUC:0.969
Numer of labeled samples:24550   AUC:0.969
Numer of labeled samples:24432   AUC:0.970
Numer of labeled samples:24228   AUC:0.970
Numer of labeled samples:24148   AUC:0.970
Numer of labeled samples:24230   AUC:0.973
Numer of labeled samples:24047   AUC:0.969
Numer of labeled samples:24114   AUC:0.973
Numer of labeled samples:24059   AUC:0.969
Numer of labeled samples:24023   AUC:0.973
Numer of labeled samples:24079   AUC:0.972
Numer of labeled samples:24513   AUC:0.972
Numer of labeled samples:24067   AUC:0.972
Numer of labeled samples:24401   AUC:0.972
Numer of labeled samples:24186   AUC:0.973
Numer of labeled samples:24391   AUC:0.974
Numer of labeled samples:24188   AUC:0.971
Numer of labeled samples:24602   AUC:0.978
Numer of labeled samples:24220   AUC:0.973
Numer of labeled samples:24735   AUC:0.978
Numer of labeled samples:24368   AUC:0.976
Numer of labeled samples:24623   AUC:0.976
Numer of labeled samples:24382   AUC:0.977
Numer of labeled samples:24729   AUC:0.981
Numer of labeled samples:24548   AUC:0.979
Numer of labeled samples:24998   AUC:0.983
Numer of labeled samples:24610   AUC:0.981
Numer of labeled samples:24848   AUC:0.982
Numer of labeled samples:24755   AUC:0.982
Numer of labeled samples:24935   AUC:0.982
Numer of labeled samples:24740   AUC:0.980
Numer of labeled samples:25235   AUC:0.984
Numer of labeled samples:24860   AUC:0.981
Numer of labeled samples:25292   AUC:0.983
Numer of labeled samples:24950   AUC:0.982
Numer of labeled samples:25360   AUC:0.984
Numer of labeled samples:25092   AUC:0.983
Numer of labeled samples:25448   AUC:0.983
Numer of labeled samples:24892   AUC:0.982
Numer of labeled samples:25370   AUC:0.984
Numer of labeled samples:25204   AUC:0.984
Numer of labeled samples:25650   AUC:0.987
Numer of labeled samples:25135   AUC:0.984
Numer of labeled samples:25483   AUC:0.986
Numer of labeled samples:25264   AUC:0.985
Numer of labeled samples:25537   AUC:0.986
Numer of labeled samples:25369   AUC:0.986
Numer of labeled samples:25665   AUC:0.986
Numer of labeled samples:25346   AUC:0.987
Numer of labeled samples:25741   AUC:0.985
Numer of labeled samples:25290   AUC:0.984
Numer of labeled samples:25360   AUC:0.985
Numer of labeled samples:25614   AUC:0.985
Numer of labeled samples:25685   AUC:0.988
Numer of labeled samples:25357   AUC:0.986
Numer of labeled samples:25675   AUC:0.986
Numer of labeled samples:25587   AUC:0.986
Numer of labeled samples:25511   AUC:0.987
Numer of labeled samples:25590   AUC:0.988
Numer of labeled samples:25573   AUC:0.986
Numer of labeled samples:25802   AUC:0.986
Numer of labeled samples:25717   AUC:0.985
