Epoch:0   Accuracy:53.64
Epoch:1   Accuracy:55.49
Epoch:2   Accuracy:60.89
Epoch:3   Accuracy:61.26
Epoch:4   Accuracy:58.21
Epoch:5   Accuracy:63.87
Epoch:6   Accuracy:67.96
Epoch:7   Accuracy:69.00
Epoch:8   Accuracy:59.35
Epoch:9   Accuracy:65.83
Epoch:10   Accuracy:65.42
Epoch:11   Accuracy:67.10
Epoch:12   Accuracy:64.44
Epoch:13   Accuracy:65.07
Epoch:14   Accuracy:64.71
Epoch:15   Accuracy:64.43
Epoch:16   Accuracy:62.02
Epoch:17   Accuracy:64.13
Epoch:18   Accuracy:65.00
Epoch:19   Accuracy:61.37
Epoch:20   Accuracy:61.89
Epoch:21   Accuracy:62.68
Epoch:22   Accuracy:65.08
Epoch:23   Accuracy:65.01
Epoch:24   Accuracy:63.20
Epoch:25   Accuracy:63.94
Epoch:26   Accuracy:64.75
Epoch:27   Accuracy:62.60
Epoch:28   Accuracy:65.07
Epoch:29   Accuracy:66.30
Epoch:30   Accuracy:65.03
Epoch:31   Accuracy:64.27
Epoch:32   Accuracy:60.34
Epoch:33   Accuracy:62.50
Epoch:34   Accuracy:62.93
Epoch:35   Accuracy:63.92
Epoch:36   Accuracy:63.36
Epoch:37   Accuracy:62.36
Epoch:38   Accuracy:65.26
Epoch:39   Accuracy:66.17
Epoch:40   Accuracy:64.64
Epoch:41   Accuracy:65.49
Epoch:42   Accuracy:64.81
Epoch:43   Accuracy:64.26
Epoch:44   Accuracy:66.06
Epoch:45   Accuracy:64.00
Epoch:46   Accuracy:66.41
Epoch:47   Accuracy:62.39
Epoch:48   Accuracy:63.19
Epoch:49   Accuracy:64.34
Epoch:50   Accuracy:65.11
Epoch:51   Accuracy:62.69
Epoch:52   Accuracy:65.29
Epoch:53   Accuracy:62.71
Epoch:54   Accuracy:61.85
Epoch:55   Accuracy:61.91
Epoch:56   Accuracy:64.74
Epoch:57   Accuracy:65.32
Epoch:58   Accuracy:65.56
Epoch:59   Accuracy:61.83
Epoch:60   Accuracy:63.51
Epoch:61   Accuracy:62.94
Epoch:62   Accuracy:63.07
Epoch:63   Accuracy:63.24
Epoch:64   Accuracy:62.74
Epoch:65   Accuracy:61.48
Epoch:66   Accuracy:63.66
Epoch:67   Accuracy:63.65
Epoch:68   Accuracy:63.78
Epoch:69   Accuracy:63.93
Epoch:70   Accuracy:63.49
Epoch:71   Accuracy:64.03
Epoch:72   Accuracy:65.31
Epoch:73   Accuracy:63.11
Epoch:74   Accuracy:64.32
Epoch:75   Accuracy:62.84
Epoch:76   Accuracy:63.69
Epoch:77   Accuracy:63.95
Epoch:78   Accuracy:63.73
Epoch:79   Accuracy:63.27
Epoch:80   Accuracy:62.79
Epoch:81   Accuracy:62.97
Epoch:82   Accuracy:62.60
Epoch:83   Accuracy:64.91
Epoch:84   Accuracy:63.74
Epoch:85   Accuracy:64.81
Epoch:86   Accuracy:62.92
Epoch:87   Accuracy:62.55
Epoch:88   Accuracy:63.39
Epoch:89   Accuracy:63.50
Epoch:90   Accuracy:63.63
Epoch:91   Accuracy:63.39
Epoch:92   Accuracy:62.29
Epoch:93   Accuracy:63.43
Epoch:94   Accuracy:63.76
Epoch:95   Accuracy:63.45
Epoch:96   Accuracy:62.12
Epoch:97   Accuracy:62.92
Epoch:98   Accuracy:63.69
Epoch:99   Accuracy:62.21
Epoch:100   Accuracy:63.12
