Numer of labeled samples:10489   AUC:0.863
Numer of labeled samples:12005   AUC:0.887
Numer of labeled samples:16487   AUC:0.796
Numer of labeled samples:14691   AUC:0.827
Numer of labeled samples:18537   AUC:0.787
Numer of labeled samples:17255   AUC:0.815
Numer of labeled samples:19065   AUC:0.783
Numer of labeled samples:18867   AUC:0.784
Numer of labeled samples:20713   AUC:0.757
Numer of labeled samples:20411   AUC:0.793
Numer of labeled samples:18886   AUC:0.724
Numer of labeled samples:18093   AUC:0.731
Numer of labeled samples:20232   AUC:0.714
Numer of labeled samples:19643   AUC:0.738
Numer of labeled samples:17452   AUC:0.722
Numer of labeled samples:18709   AUC:0.732
Numer of labeled samples:19050   AUC:0.743
Numer of labeled samples:17068   AUC:0.705
Numer of labeled samples:19131   AUC:0.732
Numer of labeled samples:18840   AUC:0.722
Numer of labeled samples:18139   AUC:0.739
Numer of labeled samples:17797   AUC:0.720
Numer of labeled samples:17363   AUC:0.739
Numer of labeled samples:17264   AUC:0.714
Numer of labeled samples:17905   AUC:0.755
Numer of labeled samples:16792   AUC:0.737
Numer of labeled samples:17659   AUC:0.750
Numer of labeled samples:17905   AUC:0.750
Numer of labeled samples:17299   AUC:0.761
Numer of labeled samples:16897   AUC:0.743
Numer of labeled samples:16196   AUC:0.750
Numer of labeled samples:17890   AUC:0.746
Numer of labeled samples:16690   AUC:0.758
Numer of labeled samples:17747   AUC:0.758
Numer of labeled samples:14500   AUC:0.702
Numer of labeled samples:16488   AUC:0.740
Numer of labeled samples:13880   AUC:0.714
Numer of labeled samples:15454   AUC:0.706
Numer of labeled samples:14145   AUC:0.710
Numer of labeled samples:13533   AUC:0.709
Numer of labeled samples:13496   AUC:0.717
Numer of labeled samples:16818   AUC:0.733
Numer of labeled samples:12449   AUC:0.710
Numer of labeled samples:14703   AUC:0.721
Numer of labeled samples:17157   AUC:0.715
Numer of labeled samples:14678   AUC:0.711
Numer of labeled samples:14111   AUC:0.728
Numer of labeled samples:20865   AUC:0.723
Numer of labeled samples:13758   AUC:0.716
Numer of labeled samples:17748   AUC:0.706
Numer of labeled samples:13804   AUC:0.710
Numer of labeled samples:14752   AUC:0.709
Numer of labeled samples:13646   AUC:0.703
Numer of labeled samples:15979   AUC:0.728
Numer of labeled samples:13154   AUC:0.722
Numer of labeled samples:16822   AUC:0.732
Numer of labeled samples:12312   AUC:0.731
Numer of labeled samples:15166   AUC:0.719
Numer of labeled samples:14064   AUC:0.703
Numer of labeled samples:17579   AUC:0.723
Numer of labeled samples:13899   AUC:0.681
Numer of labeled samples:15664   AUC:0.681
Numer of labeled samples:13614   AUC:0.657
Numer of labeled samples:15497   AUC:0.691
Numer of labeled samples:12722   AUC:0.648
Numer of labeled samples:14061   AUC:0.660
Numer of labeled samples:11423   AUC:0.665
Numer of labeled samples:15526   AUC:0.665
Numer of labeled samples:11319   AUC:0.660
Numer of labeled samples:15051   AUC:0.676
Numer of labeled samples:11229   AUC:0.646
Numer of labeled samples:16379   AUC:0.655
Numer of labeled samples:11822   AUC:0.660
Numer of labeled samples:13985   AUC:0.642
Numer of labeled samples:11041   AUC:0.661
Numer of labeled samples:14898   AUC:0.671
Numer of labeled samples:11590   AUC:0.646
Numer of labeled samples:15339   AUC:0.664
Numer of labeled samples:11176   AUC:0.648
Numer of labeled samples:14830   AUC:0.661
Numer of labeled samples:10820   AUC:0.658
Numer of labeled samples:14443   AUC:0.680
Numer of labeled samples:11217   AUC:0.663
Numer of labeled samples:15333   AUC:0.664
Numer of labeled samples:12013   AUC:0.669
Numer of labeled samples:13602   AUC:0.664
Numer of labeled samples:11093   AUC:0.665
Numer of labeled samples:18055   AUC:0.652
Numer of labeled samples:11639   AUC:0.659
Numer of labeled samples:14723   AUC:0.666
Numer of labeled samples:14539   AUC:0.670
Numer of labeled samples:15183   AUC:0.666
Numer of labeled samples:11676   AUC:0.675
Numer of labeled samples:16049   AUC:0.688
Numer of labeled samples:10595   AUC:0.683
Numer of labeled samples:16111   AUC:0.684
Numer of labeled samples:10098   AUC:0.664
Numer of labeled samples:17307   AUC:0.659
Numer of labeled samples:11675   AUC:0.676
Numer of labeled samples:15422   AUC:0.666
Numer of labeled samples:10283   AUC:0.662
Numer of labeled samples:16911   AUC:0.689
Numer of labeled samples:11815   AUC:0.650
Numer of labeled samples:14187   AUC:0.676
Numer of labeled samples:10292   AUC:0.671
Numer of labeled samples:14212   AUC:0.659
Numer of labeled samples:12039   AUC:0.671
Numer of labeled samples:15163   AUC:0.677
Numer of labeled samples:11293   AUC:0.677
Numer of labeled samples:17669   AUC:0.687
Numer of labeled samples:11471   AUC:0.655
Numer of labeled samples:18114   AUC:0.685
Numer of labeled samples:13575   AUC:0.674
Numer of labeled samples:14945   AUC:0.676
Numer of labeled samples:10982   AUC:0.665
Numer of labeled samples:15562   AUC:0.682
Numer of labeled samples:12406   AUC:0.653
Numer of labeled samples:14341   AUC:0.690
Numer of labeled samples:10407   AUC:0.647
Numer of labeled samples:14875   AUC:0.680
Numer of labeled samples:10492   AUC:0.668
Numer of labeled samples:16233   AUC:0.669
Numer of labeled samples:10618   AUC:0.677
Numer of labeled samples:15787   AUC:0.665
Numer of labeled samples:11489   AUC:0.658
Numer of labeled samples:16011   AUC:0.672
Numer of labeled samples:10939   AUC:0.666
Numer of labeled samples:19699   AUC:0.688
Numer of labeled samples:10387   AUC:0.691
Numer of labeled samples:16341   AUC:0.676
Numer of labeled samples:10915   AUC:0.662
Numer of labeled samples:13995   AUC:0.695
Numer of labeled samples:10989   AUC:0.673
Numer of labeled samples:12623   AUC:0.697
Numer of labeled samples:10885   AUC:0.681
Numer of labeled samples:14118   AUC:0.692
Numer of labeled samples:11633   AUC:0.696
Numer of labeled samples:16141   AUC:0.692
Numer of labeled samples:10959   AUC:0.694
Numer of labeled samples:14384   AUC:0.689
Numer of labeled samples:13634   AUC:0.709
Numer of labeled samples:12710   AUC:0.697
Numer of labeled samples:11663   AUC:0.705
Numer of labeled samples:15799   AUC:0.678
Numer of labeled samples:10651   AUC:0.691
Numer of labeled samples:14225   AUC:0.699
Numer of labeled samples:11223   AUC:0.716
Numer of labeled samples:15424   AUC:0.700
Numer of labeled samples:10617   AUC:0.693
Numer of labeled samples:12464   AUC:0.691
Numer of labeled samples:10330   AUC:0.718
Numer of labeled samples:15540   AUC:0.708
Numer of labeled samples:11898   AUC:0.714
Numer of labeled samples:17905   AUC:0.690
Numer of labeled samples:10674   AUC:0.705
Numer of labeled samples:18437   AUC:0.718
Numer of labeled samples:11427   AUC:0.702
Numer of labeled samples:16093   AUC:0.718
Numer of labeled samples:13031   AUC:0.691
Numer of labeled samples:15807   AUC:0.700
Numer of labeled samples:12550   AUC:0.707
Numer of labeled samples:18109   AUC:0.720
Numer of labeled samples:10754   AUC:0.683
Numer of labeled samples:14369   AUC:0.704
