Numer of labeled samples:40443   AUC:0.699
Numer of labeled samples:40172   AUC:0.679
Numer of labeled samples:38601   AUC:0.831
Numer of labeled samples:38393   AUC:0.817
Numer of labeled samples:38465   AUC:0.843
Numer of labeled samples:37876   AUC:0.847
Numer of labeled samples:37836   AUC:0.827
Numer of labeled samples:37801   AUC:0.835
Numer of labeled samples:38312   AUC:0.823
Numer of labeled samples:37765   AUC:0.835
Numer of labeled samples:38491   AUC:0.801
Numer of labeled samples:37604   AUC:0.829
Numer of labeled samples:38259   AUC:0.820
Numer of labeled samples:38009   AUC:0.819
Numer of labeled samples:38493   AUC:0.794
Numer of labeled samples:38092   AUC:0.826
Numer of labeled samples:38715   AUC:0.792
Numer of labeled samples:38368   AUC:0.802
Numer of labeled samples:38794   AUC:0.783
Numer of labeled samples:38423   AUC:0.799
Numer of labeled samples:38604   AUC:0.801
Numer of labeled samples:38258   AUC:0.812
Numer of labeled samples:38798   AUC:0.782
Numer of labeled samples:38586   AUC:0.784
Numer of labeled samples:38803   AUC:0.775
Numer of labeled samples:38856   AUC:0.797
Numer of labeled samples:38782   AUC:0.768
Numer of labeled samples:38686   AUC:0.779
Numer of labeled samples:38881   AUC:0.762
Numer of labeled samples:38641   AUC:0.773
Numer of labeled samples:38884   AUC:0.768
Numer of labeled samples:38861   AUC:0.761
Numer of labeled samples:38906   AUC:0.753
Numer of labeled samples:38782   AUC:0.779
Numer of labeled samples:38904   AUC:0.766
Numer of labeled samples:38684   AUC:0.772
Numer of labeled samples:38941   AUC:0.756
Numer of labeled samples:38787   AUC:0.762
Numer of labeled samples:38951   AUC:0.748
Numer of labeled samples:38751   AUC:0.777
Numer of labeled samples:38937   AUC:0.748
Numer of labeled samples:38918   AUC:0.774
Numer of labeled samples:38932   AUC:0.767
Numer of labeled samples:38889   AUC:0.755
Numer of labeled samples:38932   AUC:0.738
Numer of labeled samples:38852   AUC:0.755
Numer of labeled samples:38874   AUC:0.748
Numer of labeled samples:38913   AUC:0.758
Numer of labeled samples:38514   AUC:0.748
Numer of labeled samples:38879   AUC:0.758
Numer of labeled samples:38983   AUC:0.743
Numer of labeled samples:38839   AUC:0.757
Numer of labeled samples:38978   AUC:0.753
Numer of labeled samples:38906   AUC:0.753
Numer of labeled samples:38953   AUC:0.764
Numer of labeled samples:38918   AUC:0.760
Numer of labeled samples:38959   AUC:0.738
Numer of labeled samples:38964   AUC:0.748
Numer of labeled samples:38990   AUC:0.753
Numer of labeled samples:38927   AUC:0.751
Numer of labeled samples:38955   AUC:0.758
Numer of labeled samples:38976   AUC:0.743
Numer of labeled samples:39007   AUC:0.750
Numer of labeled samples:38960   AUC:0.735
Numer of labeled samples:39027   AUC:0.742
Numer of labeled samples:38974   AUC:0.766
Numer of labeled samples:38979   AUC:0.751
Numer of labeled samples:38978   AUC:0.736
Numer of labeled samples:38982   AUC:0.737
Numer of labeled samples:38952   AUC:0.753
Numer of labeled samples:39003   AUC:0.751
Numer of labeled samples:39000   AUC:0.746
Numer of labeled samples:38997   AUC:0.748
Numer of labeled samples:38999   AUC:0.744
Numer of labeled samples:39015   AUC:0.757
Numer of labeled samples:38999   AUC:0.764
Numer of labeled samples:38992   AUC:0.743
Numer of labeled samples:39011   AUC:0.758
Numer of labeled samples:38998   AUC:0.738
Numer of labeled samples:38972   AUC:0.755
Numer of labeled samples:39002   AUC:0.741
Numer of labeled samples:39012   AUC:0.741
Numer of labeled samples:38997   AUC:0.744
Numer of labeled samples:38972   AUC:0.746
Numer of labeled samples:38986   AUC:0.761
Numer of labeled samples:38972   AUC:0.745
Numer of labeled samples:38992   AUC:0.755
Numer of labeled samples:38999   AUC:0.751
Numer of labeled samples:38993   AUC:0.729
Numer of labeled samples:39008   AUC:0.745
Numer of labeled samples:39036   AUC:0.741
Numer of labeled samples:38990   AUC:0.758
