Numer of labeled samples:43681   AUC:0.776
Numer of labeled samples:29173   AUC:0.728
Numer of labeled samples:36262   AUC:0.820
Numer of labeled samples:36532   AUC:0.873
Numer of labeled samples:32269   AUC:0.802
Numer of labeled samples:31223   AUC:0.843
Numer of labeled samples:29679   AUC:0.798
Numer of labeled samples:31313   AUC:0.827
Numer of labeled samples:27769   AUC:0.750
Numer of labeled samples:32368   AUC:0.806
Numer of labeled samples:27679   AUC:0.717
Numer of labeled samples:27973   AUC:0.758
Numer of labeled samples:22992   AUC:0.716
Numer of labeled samples:29218   AUC:0.745
Numer of labeled samples:24310   AUC:0.697
Numer of labeled samples:21955   AUC:0.756
Numer of labeled samples:21613   AUC:0.625
Numer of labeled samples:22302   AUC:0.643
Numer of labeled samples:19208   AUC:0.618
Numer of labeled samples:21714   AUC:0.623
Numer of labeled samples:18061   AUC:0.624
Numer of labeled samples:20894   AUC:0.655
Numer of labeled samples:18047   AUC:0.649
Numer of labeled samples:21765   AUC:0.606
Numer of labeled samples:17711   AUC:0.620
Numer of labeled samples:20894   AUC:0.644
Numer of labeled samples:17478   AUC:0.599
Numer of labeled samples:21251   AUC:0.600
Numer of labeled samples:16598   AUC:0.607
Numer of labeled samples:19889   AUC:0.548
Numer of labeled samples:18185   AUC:0.568
Numer of labeled samples:20766   AUC:0.556
Numer of labeled samples:12330   AUC:0.509
Numer of labeled samples:23271   AUC:0.517
Numer of labeled samples:12515   AUC:0.529
Numer of labeled samples:19513   AUC:0.522
Numer of labeled samples:12652   AUC:0.489
Numer of labeled samples:19134   AUC:0.530
Numer of labeled samples:12990   AUC:0.475
Numer of labeled samples:24062   AUC:0.491
Numer of labeled samples:12646   AUC:0.513
Numer of labeled samples:21442   AUC:0.495
Numer of labeled samples:12846   AUC:0.518
Numer of labeled samples:19799   AUC:0.507
Numer of labeled samples:11958   AUC:0.528
Numer of labeled samples:22757   AUC:0.510
Numer of labeled samples:11837   AUC:0.514
Numer of labeled samples:21724   AUC:0.502
Numer of labeled samples:11841   AUC:0.509
Numer of labeled samples:20663   AUC:0.516
Numer of labeled samples:12200   AUC:0.503
Numer of labeled samples:22565   AUC:0.517
Numer of labeled samples:12746   AUC:0.503
Numer of labeled samples:20091   AUC:0.528
Numer of labeled samples:12308   AUC:0.477
Numer of labeled samples:21826   AUC:0.517
Numer of labeled samples:12514   AUC:0.491
Numer of labeled samples:21876   AUC:0.501
Numer of labeled samples:13064   AUC:0.479
Numer of labeled samples:21463   AUC:0.497
Numer of labeled samples:13355   AUC:0.523
Numer of labeled samples:19112   AUC:0.527
Numer of labeled samples:12514   AUC:0.505
Numer of labeled samples:20660   AUC:0.529
Numer of labeled samples:12146   AUC:0.473
Numer of labeled samples:21465   AUC:0.469
Numer of labeled samples:13316   AUC:0.481
Numer of labeled samples:21658   AUC:0.506
Numer of labeled samples:12434   AUC:0.511
Numer of labeled samples:23477   AUC:0.483
Numer of labeled samples:12913   AUC:0.471
Numer of labeled samples:23918   AUC:0.457
Numer of labeled samples:11096   AUC:0.480
Numer of labeled samples:21554   AUC:0.480
Numer of labeled samples:12303   AUC:0.470
Numer of labeled samples:24565   AUC:0.458
Numer of labeled samples:11143   AUC:0.495
Numer of labeled samples:24904   AUC:0.427
Numer of labeled samples:11890   AUC:0.464
Numer of labeled samples:23324   AUC:0.459
Numer of labeled samples:12419   AUC:0.476
Numer of labeled samples:23469   AUC:0.437
Numer of labeled samples:10930   AUC:0.457
Numer of labeled samples:22462   AUC:0.472
Numer of labeled samples:10950   AUC:0.531
Numer of labeled samples:20573   AUC:0.461
Numer of labeled samples:10310   AUC:0.499
Numer of labeled samples:19892   AUC:0.463
Numer of labeled samples:10094   AUC:0.505
Numer of labeled samples:20621   AUC:0.431
Numer of labeled samples:9903   AUC:0.545
Numer of labeled samples:17151   AUC:0.479
Numer of labeled samples:9311   AUC:0.488
Numer of labeled samples:17070   AUC:0.488
Numer of labeled samples:9581   AUC:0.504
Numer of labeled samples:21654   AUC:0.452
Numer of labeled samples:11059   AUC:0.463
Numer of labeled samples:17530   AUC:0.479
Numer of labeled samples:9955   AUC:0.473
Numer of labeled samples:19101   AUC:0.461
Numer of labeled samples:9823   AUC:0.487
Numer of labeled samples:20155   AUC:0.459
Numer of labeled samples:9386   AUC:0.481
Numer of labeled samples:20126   AUC:0.465
Numer of labeled samples:10888   AUC:0.475
Numer of labeled samples:18184   AUC:0.447
Numer of labeled samples:10834   AUC:0.493
Numer of labeled samples:16462   AUC:0.452
Numer of labeled samples:9451   AUC:0.473
Numer of labeled samples:16728   AUC:0.459
Numer of labeled samples:9892   AUC:0.478
Numer of labeled samples:20489   AUC:0.430
Numer of labeled samples:12458   AUC:0.475
Numer of labeled samples:17660   AUC:0.455
Numer of labeled samples:8694   AUC:0.483
Numer of labeled samples:18485   AUC:0.512
Numer of labeled samples:9342   AUC:0.487
Numer of labeled samples:19333   AUC:0.433
Numer of labeled samples:10644   AUC:0.469
Numer of labeled samples:19441   AUC:0.466
Numer of labeled samples:10065   AUC:0.539
Numer of labeled samples:22827   AUC:0.475
Numer of labeled samples:13653   AUC:0.459
Numer of labeled samples:19167   AUC:0.499
Numer of labeled samples:8780   AUC:0.486
Numer of labeled samples:17439   AUC:0.484
Numer of labeled samples:8057   AUC:0.545
Numer of labeled samples:18357   AUC:0.527
Numer of labeled samples:9811   AUC:0.494
Numer of labeled samples:17116   AUC:0.491
Numer of labeled samples:8007   AUC:0.488
Numer of labeled samples:17527   AUC:0.494
Numer of labeled samples:8725   AUC:0.492
Numer of labeled samples:18058   AUC:0.514
Numer of labeled samples:10016   AUC:0.499
Numer of labeled samples:17343   AUC:0.487
Numer of labeled samples:11428   AUC:0.483
Numer of labeled samples:17712   AUC:0.512
Numer of labeled samples:8928   AUC:0.480
Numer of labeled samples:17781   AUC:0.490
Numer of labeled samples:8605   AUC:0.490
Numer of labeled samples:18273   AUC:0.495
Numer of labeled samples:8964   AUC:0.471
Numer of labeled samples:19488   AUC:0.457
Numer of labeled samples:9275   AUC:0.474
Numer of labeled samples:18068   AUC:0.447
Numer of labeled samples:8493   AUC:0.505
Numer of labeled samples:14558   AUC:0.501
Numer of labeled samples:7804   AUC:0.477
Numer of labeled samples:16008   AUC:0.476
Numer of labeled samples:8944   AUC:0.490
Numer of labeled samples:18268   AUC:0.521
Numer of labeled samples:7838   AUC:0.484
Numer of labeled samples:18295   AUC:0.439
Numer of labeled samples:8728   AUC:0.445
Numer of labeled samples:17041   AUC:0.470
Numer of labeled samples:9593   AUC:0.484
Numer of labeled samples:16819   AUC:0.484
Numer of labeled samples:7553   AUC:0.506
Numer of labeled samples:18132   AUC:0.468
Numer of labeled samples:7638   AUC:0.501
Numer of labeled samples:21629   AUC:0.468
Numer of labeled samples:10092   AUC:0.477
Numer of labeled samples:15993   AUC:0.477
Numer of labeled samples:8743   AUC:0.487
Numer of labeled samples:18243   AUC:0.508
Numer of labeled samples:7685   AUC:0.474
