Numer of labeled samples:43545   AUC:0.750
Numer of labeled samples:36210   AUC:0.709
Numer of labeled samples:42087   AUC:0.746
Numer of labeled samples:41966   AUC:0.765
Numer of labeled samples:40540   AUC:0.811
Numer of labeled samples:42753   AUC:0.743
Numer of labeled samples:42090   AUC:0.730
Numer of labeled samples:42792   AUC:0.797
Numer of labeled samples:43920   AUC:0.761
Numer of labeled samples:43405   AUC:0.747
Numer of labeled samples:44484   AUC:0.797
Numer of labeled samples:44211   AUC:0.781
Numer of labeled samples:44145   AUC:0.820
Numer of labeled samples:43793   AUC:0.755
Numer of labeled samples:44384   AUC:0.792
Numer of labeled samples:44189   AUC:0.815
Numer of labeled samples:44706   AUC:0.782
Numer of labeled samples:44134   AUC:0.772
Numer of labeled samples:43937   AUC:0.804
Numer of labeled samples:43876   AUC:0.781
Numer of labeled samples:43776   AUC:0.776
Numer of labeled samples:43906   AUC:0.796
Numer of labeled samples:43410   AUC:0.800
Numer of labeled samples:43297   AUC:0.798
Numer of labeled samples:43284   AUC:0.815
Numer of labeled samples:43101   AUC:0.795
Numer of labeled samples:43488   AUC:0.809
Numer of labeled samples:42587   AUC:0.773
Numer of labeled samples:42807   AUC:0.763
Numer of labeled samples:43052   AUC:0.787
Numer of labeled samples:42776   AUC:0.767
Numer of labeled samples:42811   AUC:0.747
Numer of labeled samples:42902   AUC:0.758
Numer of labeled samples:42310   AUC:0.771
Numer of labeled samples:42133   AUC:0.765
Numer of labeled samples:42342   AUC:0.770
Numer of labeled samples:42640   AUC:0.749
Numer of labeled samples:41027   AUC:0.762
Numer of labeled samples:41959   AUC:0.756
Numer of labeled samples:41377   AUC:0.742
Numer of labeled samples:41603   AUC:0.761
Numer of labeled samples:41619   AUC:0.724
Numer of labeled samples:41424   AUC:0.770
Numer of labeled samples:41594   AUC:0.734
Numer of labeled samples:40393   AUC:0.752
Numer of labeled samples:40434   AUC:0.760
Numer of labeled samples:40140   AUC:0.747
Numer of labeled samples:39568   AUC:0.741
Numer of labeled samples:40447   AUC:0.747
Numer of labeled samples:40025   AUC:0.728
Numer of labeled samples:39367   AUC:0.719
Numer of labeled samples:39246   AUC:0.725
Numer of labeled samples:38825   AUC:0.713
Numer of labeled samples:38686   AUC:0.695
Numer of labeled samples:37422   AUC:0.673
Numer of labeled samples:37728   AUC:0.699
Numer of labeled samples:38169   AUC:0.703
Numer of labeled samples:36835   AUC:0.693
Numer of labeled samples:38029   AUC:0.693
Numer of labeled samples:37426   AUC:0.693
Numer of labeled samples:37965   AUC:0.707
Numer of labeled samples:37503   AUC:0.697
Numer of labeled samples:37189   AUC:0.699
Numer of labeled samples:37521   AUC:0.707
Numer of labeled samples:37771   AUC:0.693
Numer of labeled samples:37679   AUC:0.679
Numer of labeled samples:37628   AUC:0.672
Numer of labeled samples:38309   AUC:0.669
Numer of labeled samples:37353   AUC:0.676
Numer of labeled samples:37637   AUC:0.690
Numer of labeled samples:38409   AUC:0.709
Numer of labeled samples:37998   AUC:0.688
Numer of labeled samples:37881   AUC:0.688
Numer of labeled samples:37550   AUC:0.699
Numer of labeled samples:38093   AUC:0.675
Numer of labeled samples:37767   AUC:0.687
Numer of labeled samples:37824   AUC:0.679
Numer of labeled samples:37586   AUC:0.692
Numer of labeled samples:37697   AUC:0.694
Numer of labeled samples:37813   AUC:0.700
Numer of labeled samples:37849   AUC:0.685
Numer of labeled samples:37706   AUC:0.698
Numer of labeled samples:37594   AUC:0.651
Numer of labeled samples:38094   AUC:0.694
Numer of labeled samples:38300   AUC:0.715
Numer of labeled samples:38199   AUC:0.691
Numer of labeled samples:38281   AUC:0.684
Numer of labeled samples:38081   AUC:0.718
Numer of labeled samples:38356   AUC:0.685
Numer of labeled samples:38071   AUC:0.695
Numer of labeled samples:38331   AUC:0.670
Numer of labeled samples:38235   AUC:0.712
Numer of labeled samples:38105   AUC:0.679
Numer of labeled samples:38068   AUC:0.690
Numer of labeled samples:37969   AUC:0.694
Numer of labeled samples:38070   AUC:0.670
Numer of labeled samples:38053   AUC:0.701
Numer of labeled samples:37623   AUC:0.698
Numer of labeled samples:38051   AUC:0.681
Numer of labeled samples:37959   AUC:0.667
Numer of labeled samples:38585   AUC:0.667
Numer of labeled samples:37827   AUC:0.718
Numer of labeled samples:38118   AUC:0.695
Numer of labeled samples:38499   AUC:0.727
Numer of labeled samples:38363   AUC:0.709
Numer of labeled samples:37934   AUC:0.725
Numer of labeled samples:38424   AUC:0.708
Numer of labeled samples:37970   AUC:0.725
Numer of labeled samples:38301   AUC:0.719
Numer of labeled samples:38218   AUC:0.706
Numer of labeled samples:37876   AUC:0.729
Numer of labeled samples:38392   AUC:0.647
Numer of labeled samples:38665   AUC:0.690
Numer of labeled samples:38082   AUC:0.703
Numer of labeled samples:38622   AUC:0.712
Numer of labeled samples:38125   AUC:0.703
Numer of labeled samples:38277   AUC:0.697
Numer of labeled samples:38282   AUC:0.723
Numer of labeled samples:38297   AUC:0.706
Numer of labeled samples:38130   AUC:0.705
Numer of labeled samples:38420   AUC:0.722
Numer of labeled samples:38331   AUC:0.710
Numer of labeled samples:38521   AUC:0.690
Numer of labeled samples:38402   AUC:0.716
Numer of labeled samples:38266   AUC:0.702
Numer of labeled samples:38453   AUC:0.718
Numer of labeled samples:38425   AUC:0.712
Numer of labeled samples:37920   AUC:0.704
Numer of labeled samples:38612   AUC:0.679
Numer of labeled samples:38198   AUC:0.718
Numer of labeled samples:38132   AUC:0.697
Numer of labeled samples:38442   AUC:0.688
Numer of labeled samples:38566   AUC:0.725
Numer of labeled samples:37856   AUC:0.719
Numer of labeled samples:38656   AUC:0.690
Numer of labeled samples:38489   AUC:0.712
Numer of labeled samples:38275   AUC:0.683
Numer of labeled samples:38184   AUC:0.691
Numer of labeled samples:37876   AUC:0.687
Numer of labeled samples:38061   AUC:0.721
Numer of labeled samples:38460   AUC:0.636
Numer of labeled samples:38014   AUC:0.686
Numer of labeled samples:38385   AUC:0.726
Numer of labeled samples:38239   AUC:0.692
Numer of labeled samples:38591   AUC:0.686
Numer of labeled samples:38442   AUC:0.706
Numer of labeled samples:38124   AUC:0.654
Numer of labeled samples:38404   AUC:0.692
Numer of labeled samples:38607   AUC:0.705
Numer of labeled samples:38354   AUC:0.716
Numer of labeled samples:38446   AUC:0.693
Numer of labeled samples:38442   AUC:0.716
Numer of labeled samples:38298   AUC:0.742
Numer of labeled samples:38210   AUC:0.712
Numer of labeled samples:38298   AUC:0.685
Numer of labeled samples:38525   AUC:0.684
Numer of labeled samples:38398   AUC:0.707
Numer of labeled samples:38019   AUC:0.699
Numer of labeled samples:38804   AUC:0.625
Numer of labeled samples:38559   AUC:0.695
Numer of labeled samples:38502   AUC:0.678
Numer of labeled samples:38252   AUC:0.716
Numer of labeled samples:38031   AUC:0.716
Numer of labeled samples:38420   AUC:0.672
Numer of labeled samples:38909   AUC:0.680
Numer of labeled samples:38656   AUC:0.714
Numer of labeled samples:38899   AUC:0.712
Numer of labeled samples:38266   AUC:0.680
Numer of labeled samples:38353   AUC:0.710
Numer of labeled samples:38010   AUC:0.703
Numer of labeled samples:38314   AUC:0.724
Numer of labeled samples:38238   AUC:0.708
Numer of labeled samples:38184   AUC:0.686
Numer of labeled samples:38136   AUC:0.698
Numer of labeled samples:38488   AUC:0.688
Numer of labeled samples:38104   AUC:0.693
Numer of labeled samples:38594   AUC:0.691
Numer of labeled samples:38330   AUC:0.688
Numer of labeled samples:38662   AUC:0.682
Numer of labeled samples:38434   AUC:0.683
Numer of labeled samples:38606   AUC:0.695
Numer of labeled samples:38601   AUC:0.724
