Epoch:0   Accuracy:57.10
Epoch:1   Accuracy:66.86
Epoch:2   Accuracy:71.34
Epoch:3   Accuracy:77.28
Epoch:4   Accuracy:77.79
Epoch:5   Accuracy:82.32
Epoch:6   Accuracy:81.33
Epoch:7   Accuracy:82.87
Epoch:8   Accuracy:84.35
Epoch:9   Accuracy:84.84
Epoch:10   Accuracy:80.61
Epoch:11   Accuracy:78.26
Epoch:12   Accuracy:77.97
Epoch:13   Accuracy:76.26
Epoch:14   Accuracy:76.00
Epoch:15   Accuracy:75.78
Epoch:16   Accuracy:73.92
Epoch:17   Accuracy:73.88
Epoch:18   Accuracy:74.56
Epoch:19   Accuracy:72.07
Epoch:20   Accuracy:71.06
Epoch:21   Accuracy:71.24
Epoch:22   Accuracy:68.96
Epoch:23   Accuracy:68.39
Epoch:24   Accuracy:69.88
Epoch:25   Accuracy:68.99
Epoch:26   Accuracy:67.25
Epoch:27   Accuracy:65.53
Epoch:28   Accuracy:63.85
Epoch:29   Accuracy:60.20
Epoch:30   Accuracy:58.84
Epoch:31   Accuracy:58.31
Epoch:32   Accuracy:58.70
Epoch:33   Accuracy:59.69
Epoch:34   Accuracy:58.60
Epoch:35   Accuracy:59.22
Epoch:36   Accuracy:57.86
Epoch:37   Accuracy:55.48
Epoch:38   Accuracy:57.16
Epoch:39   Accuracy:56.85
Epoch:40   Accuracy:55.81
Epoch:41   Accuracy:58.37
Epoch:42   Accuracy:58.01
Epoch:43   Accuracy:55.44
Epoch:44   Accuracy:54.64
Epoch:45   Accuracy:55.51
Epoch:46   Accuracy:55.22
Epoch:47   Accuracy:55.96
Epoch:48   Accuracy:53.71
Epoch:49   Accuracy:53.39
Epoch:50   Accuracy:53.10
Epoch:51   Accuracy:52.13
Epoch:52   Accuracy:50.53
Epoch:53   Accuracy:54.31
Epoch:54   Accuracy:51.91
Epoch:55   Accuracy:51.28
Epoch:56   Accuracy:47.55
Epoch:57   Accuracy:45.42
Epoch:58   Accuracy:44.16
Epoch:59   Accuracy:40.09
Epoch:60   Accuracy:39.15
Epoch:61   Accuracy:35.74
Epoch:62   Accuracy:30.11
Epoch:63   Accuracy:25.93
Epoch:64   Accuracy:25.47
Epoch:65   Accuracy:19.87
Epoch:66   Accuracy:15.34
Epoch:67   Accuracy:13.94
Epoch:68   Accuracy:12.29
Epoch:69   Accuracy:12.04
Epoch:70   Accuracy:11.54
Epoch:71   Accuracy:9.32
Epoch:72   Accuracy:8.20
Epoch:73   Accuracy:6.59
Epoch:74   Accuracy:5.38
Epoch:75   Accuracy:5.08
Epoch:76   Accuracy:4.08
Epoch:77   Accuracy:5.00
Epoch:78   Accuracy:4.91
Epoch:79   Accuracy:4.75
Epoch:80   Accuracy:4.38
Epoch:81   Accuracy:4.05
Epoch:82   Accuracy:3.16
Epoch:83   Accuracy:2.58
Epoch:84   Accuracy:2.47
Epoch:85   Accuracy:2.11
Epoch:86   Accuracy:2.59
Epoch:87   Accuracy:2.58
Epoch:88   Accuracy:2.67
Epoch:89   Accuracy:2.24
Epoch:90   Accuracy:2.58
Epoch:91   Accuracy:2.59
Epoch:92   Accuracy:2.94
Epoch:93   Accuracy:2.72
Epoch:94   Accuracy:2.81
Epoch:95   Accuracy:2.81
Epoch:96   Accuracy:2.52
Epoch:97   Accuracy:2.16
Epoch:98   Accuracy:2.66
Epoch:99   Accuracy:2.71
Epoch:100   Accuracy:2.84
