Numer of labeled samples:11400   AUC:0.780
Numer of labeled samples:12274   AUC:0.786
Numer of labeled samples:21751   AUC:0.816
Numer of labeled samples:18431   AUC:0.827
Numer of labeled samples:24269   AUC:0.834
Numer of labeled samples:23463   AUC:0.837
Numer of labeled samples:25757   AUC:0.840
Numer of labeled samples:25955   AUC:0.840
Numer of labeled samples:27089   AUC:0.841
Numer of labeled samples:27260   AUC:0.844
Numer of labeled samples:28974   AUC:0.845
Numer of labeled samples:29144   AUC:0.842
Numer of labeled samples:30421   AUC:0.847
Numer of labeled samples:30223   AUC:0.847
Numer of labeled samples:31705   AUC:0.847
Numer of labeled samples:31425   AUC:0.849
Numer of labeled samples:32533   AUC:0.841
Numer of labeled samples:32519   AUC:0.849
Numer of labeled samples:33385   AUC:0.843
Numer of labeled samples:33475   AUC:0.850
Numer of labeled samples:33968   AUC:0.844
Numer of labeled samples:34039   AUC:0.853
Numer of labeled samples:34660   AUC:0.843
Numer of labeled samples:35160   AUC:0.854
Numer of labeled samples:35763   AUC:0.847
Numer of labeled samples:35664   AUC:0.853
Numer of labeled samples:36380   AUC:0.857
Numer of labeled samples:36691   AUC:0.855
Numer of labeled samples:37179   AUC:0.860
Numer of labeled samples:37429   AUC:0.857
Numer of labeled samples:37984   AUC:0.862
Numer of labeled samples:38105   AUC:0.859
Numer of labeled samples:38442   AUC:0.865
Numer of labeled samples:38858   AUC:0.859
Numer of labeled samples:38513   AUC:0.867
Numer of labeled samples:39605   AUC:0.864
Numer of labeled samples:39616   AUC:0.867
Numer of labeled samples:39903   AUC:0.867
Numer of labeled samples:39992   AUC:0.867
Numer of labeled samples:40617   AUC:0.865
Numer of labeled samples:39944   AUC:0.866
Numer of labeled samples:41365   AUC:0.865
Numer of labeled samples:42150   AUC:0.867
Numer of labeled samples:41549   AUC:0.865
Numer of labeled samples:41979   AUC:0.865
Numer of labeled samples:43226   AUC:0.862
Numer of labeled samples:42641   AUC:0.867
Numer of labeled samples:43755   AUC:0.859
Numer of labeled samples:43820   AUC:0.866
Numer of labeled samples:44541   AUC:0.861
Numer of labeled samples:43725   AUC:0.866
Numer of labeled samples:44536   AUC:0.860
Numer of labeled samples:44615   AUC:0.865
Numer of labeled samples:45455   AUC:0.859
Numer of labeled samples:45417   AUC:0.863
Numer of labeled samples:2929   AUC:0.860
Numer of labeled samples:3555   AUC:0.852
Numer of labeled samples:45930   AUC:0.828
Numer of labeled samples:44669   AUC:0.845
Numer of labeled samples:39227   AUC:0.843
Numer of labeled samples:44288   AUC:0.844
Numer of labeled samples:41280   AUC:0.842
Numer of labeled samples:44305   AUC:0.843
