Numer of labeled samples:13638   AUC:0.984
Numer of labeled samples:13637   AUC:0.982
Numer of labeled samples:13743   AUC:0.987
Numer of labeled samples:13802   AUC:0.985
Numer of labeled samples:13834   AUC:0.985
Numer of labeled samples:13756   AUC:0.986
Numer of labeled samples:13718   AUC:0.985
Numer of labeled samples:13679   AUC:0.984
Numer of labeled samples:13848   AUC:0.984
Numer of labeled samples:13791   AUC:0.985
Numer of labeled samples:13728   AUC:0.983
Numer of labeled samples:13716   AUC:0.983
Numer of labeled samples:13699   AUC:0.984
Numer of labeled samples:13770   AUC:0.984
Numer of labeled samples:13792   AUC:0.983
Numer of labeled samples:13653   AUC:0.985
Numer of labeled samples:13688   AUC:0.985
Numer of labeled samples:13736   AUC:0.984
Numer of labeled samples:13730   AUC:0.987
Numer of labeled samples:13749   AUC:0.985
Numer of labeled samples:13783   AUC:0.987
Numer of labeled samples:13710   AUC:0.986
Numer of labeled samples:13678   AUC:0.984
Numer of labeled samples:13709   AUC:0.983
Numer of labeled samples:13734   AUC:0.985
Numer of labeled samples:13771   AUC:0.986
Numer of labeled samples:13826   AUC:0.986
Numer of labeled samples:13737   AUC:0.982
Numer of labeled samples:13795   AUC:0.988
Numer of labeled samples:13740   AUC:0.984
Numer of labeled samples:13926   AUC:0.987
Numer of labeled samples:13846   AUC:0.986
Numer of labeled samples:13887   AUC:0.987
Numer of labeled samples:13833   AUC:0.988
Numer of labeled samples:13855   AUC:0.987
Numer of labeled samples:13842   AUC:0.988
Numer of labeled samples:13828   AUC:0.987
Numer of labeled samples:13811   AUC:0.986
Numer of labeled samples:13879   AUC:0.988
Numer of labeled samples:13821   AUC:0.986
Numer of labeled samples:13916   AUC:0.986
Numer of labeled samples:13844   AUC:0.989
Numer of labeled samples:13871   AUC:0.986
Numer of labeled samples:13862   AUC:0.986
Numer of labeled samples:13888   AUC:0.988
Numer of labeled samples:13829   AUC:0.986
Numer of labeled samples:13846   AUC:0.987
Numer of labeled samples:13856   AUC:0.988
