Numer of labeled samples:12389   AUC:0.889
Numer of labeled samples:11644   AUC:0.858
Numer of labeled samples:20651   AUC:0.882
Numer of labeled samples:21970   AUC:0.877
Numer of labeled samples:23113   AUC:0.887
Numer of labeled samples:25596   AUC:0.886
Numer of labeled samples:25114   AUC:0.894
Numer of labeled samples:26603   AUC:0.886
Numer of labeled samples:25880   AUC:0.904
Numer of labeled samples:30003   AUC:0.885
Numer of labeled samples:28439   AUC:0.895
Numer of labeled samples:31813   AUC:0.891
Numer of labeled samples:29800   AUC:0.899
Numer of labeled samples:30586   AUC:0.890
Numer of labeled samples:30833   AUC:0.911
Numer of labeled samples:29593   AUC:0.898
Numer of labeled samples:33119   AUC:0.912
Numer of labeled samples:30626   AUC:0.898
Numer of labeled samples:29048   AUC:0.914
Numer of labeled samples:29043   AUC:0.906
Numer of labeled samples:26494   AUC:0.923
Numer of labeled samples:28440   AUC:0.912
Numer of labeled samples:27728   AUC:0.934
Numer of labeled samples:27086   AUC:0.914
Numer of labeled samples:27625   AUC:0.931
Numer of labeled samples:26136   AUC:0.920
Numer of labeled samples:26434   AUC:0.924
Numer of labeled samples:23055   AUC:0.923
Numer of labeled samples:22472   AUC:0.929
Numer of labeled samples:23107   AUC:0.930
Numer of labeled samples:22923   AUC:0.933
Numer of labeled samples:23093   AUC:0.930
Numer of labeled samples:23712   AUC:0.932
Numer of labeled samples:23043   AUC:0.930
Numer of labeled samples:22871   AUC:0.936
Numer of labeled samples:21374   AUC:0.937
Numer of labeled samples:22378   AUC:0.941
Numer of labeled samples:21294   AUC:0.942
Numer of labeled samples:21560   AUC:0.950
Numer of labeled samples:21482   AUC:0.943
Numer of labeled samples:22226   AUC:0.953
Numer of labeled samples:20839   AUC:0.950
Numer of labeled samples:21771   AUC:0.954
Numer of labeled samples:21116   AUC:0.954
Numer of labeled samples:21630   AUC:0.957
Numer of labeled samples:20398   AUC:0.954
Numer of labeled samples:20829   AUC:0.961
Numer of labeled samples:20227   AUC:0.957
Numer of labeled samples:20917   AUC:0.961
Numer of labeled samples:20935   AUC:0.955
Numer of labeled samples:21963   AUC:0.959
Numer of labeled samples:20151   AUC:0.957
Numer of labeled samples:21208   AUC:0.962
Numer of labeled samples:20207   AUC:0.958
Numer of labeled samples:20100   AUC:0.963
Numer of labeled samples:20162   AUC:0.961
Numer of labeled samples:20256   AUC:0.964
Numer of labeled samples:19781   AUC:0.961
Numer of labeled samples:19739   AUC:0.966
Numer of labeled samples:19744   AUC:0.964
Numer of labeled samples:19956   AUC:0.968
Numer of labeled samples:19020   AUC:0.967
Numer of labeled samples:20526   AUC:0.968
Numer of labeled samples:19014   AUC:0.967
Numer of labeled samples:19548   AUC:0.970
Numer of labeled samples:18607   AUC:0.968
Numer of labeled samples:19873   AUC:0.971
Numer of labeled samples:18394   AUC:0.973
Numer of labeled samples:19127   AUC:0.972
Numer of labeled samples:18512   AUC:0.971
Numer of labeled samples:18480   AUC:0.974
Numer of labeled samples:18132   AUC:0.973
Numer of labeled samples:18398   AUC:0.974
Numer of labeled samples:18409   AUC:0.972
Numer of labeled samples:18442   AUC:0.975
Numer of labeled samples:18082   AUC:0.973
Numer of labeled samples:18721   AUC:0.973
Numer of labeled samples:18143   AUC:0.970
Numer of labeled samples:17798   AUC:0.975
Numer of labeled samples:17128   AUC:0.975
Numer of labeled samples:17757   AUC:0.977
Numer of labeled samples:17808   AUC:0.972
Numer of labeled samples:15085   AUC:0.975
Numer of labeled samples:16923   AUC:0.974
Numer of labeled samples:14273   AUC:0.978
Numer of labeled samples:15295   AUC:0.976
Numer of labeled samples:14295   AUC:0.977
Numer of labeled samples:14329   AUC:0.977
Numer of labeled samples:13842   AUC:0.978
Numer of labeled samples:14997   AUC:0.978
Numer of labeled samples:14067   AUC:0.975
Numer of labeled samples:14188   AUC:0.976
Numer of labeled samples:13904   AUC:0.980
Numer of labeled samples:13965   AUC:0.979
Numer of labeled samples:14040   AUC:0.979
Numer of labeled samples:13851   AUC:0.979
Numer of labeled samples:13769   AUC:0.979
Numer of labeled samples:13734   AUC:0.978
Numer of labeled samples:13707   AUC:0.979
Numer of labeled samples:13820   AUC:0.978
Numer of labeled samples:13839   AUC:0.980
Numer of labeled samples:13727   AUC:0.976
Numer of labeled samples:13775   AUC:0.982
Numer of labeled samples:13712   AUC:0.979
Numer of labeled samples:13850   AUC:0.980
