Numer of labeled samples:37930   AUC:0.984
Numer of labeled samples:38128   AUC:0.983
Numer of labeled samples:38146   AUC:0.984
Numer of labeled samples:38294   AUC:0.983
Numer of labeled samples:37315   AUC:0.977
Numer of labeled samples:38466   AUC:0.984
Numer of labeled samples:37997   AUC:0.983
Numer of labeled samples:38211   AUC:0.983
Numer of labeled samples:37908   AUC:0.983
Numer of labeled samples:38316   AUC:0.984
Numer of labeled samples:38130   AUC:0.983
Numer of labeled samples:38026   AUC:0.984
Numer of labeled samples:37978   AUC:0.982
Numer of labeled samples:38126   AUC:0.981
Numer of labeled samples:37903   AUC:0.980
Numer of labeled samples:38330   AUC:0.984
Numer of labeled samples:38016   AUC:0.979
Numer of labeled samples:38221   AUC:0.981
Numer of labeled samples:37960   AUC:0.979
Numer of labeled samples:38094   AUC:0.982
Numer of labeled samples:37699   AUC:0.981
Numer of labeled samples:38188   AUC:0.983
Numer of labeled samples:38426   AUC:0.983
Numer of labeled samples:38249   AUC:0.982
Numer of labeled samples:38188   AUC:0.983
Numer of labeled samples:38318   AUC:0.983
Numer of labeled samples:38074   AUC:0.983
Numer of labeled samples:38228   AUC:0.982
Numer of labeled samples:38122   AUC:0.980
Numer of labeled samples:38125   AUC:0.983
