Numer of labeled samples:10953   AUC:0.782
Numer of labeled samples:12800   AUC:0.787
Numer of labeled samples:22889   AUC:0.824
Numer of labeled samples:21186   AUC:0.828
Numer of labeled samples:24844   AUC:0.836
Numer of labeled samples:24927   AUC:0.838
Numer of labeled samples:26004   AUC:0.837
Numer of labeled samples:26644   AUC:0.844
Numer of labeled samples:27925   AUC:0.840
Numer of labeled samples:27747   AUC:0.844
Numer of labeled samples:29296   AUC:0.844
Numer of labeled samples:29542   AUC:0.843
Numer of labeled samples:30961   AUC:0.845
Numer of labeled samples:30806   AUC:0.847
Numer of labeled samples:31660   AUC:0.847
Numer of labeled samples:31792   AUC:0.849
Numer of labeled samples:33072   AUC:0.851
Numer of labeled samples:32555   AUC:0.850
Numer of labeled samples:33572   AUC:0.854
Numer of labeled samples:33544   AUC:0.856
Numer of labeled samples:34675   AUC:0.856
Numer of labeled samples:34396   AUC:0.858
Numer of labeled samples:35472   AUC:0.856
Numer of labeled samples:35247   AUC:0.861
Numer of labeled samples:35927   AUC:0.857
Numer of labeled samples:36227   AUC:0.861
Numer of labeled samples:36839   AUC:0.861
Numer of labeled samples:36803   AUC:0.863
Numer of labeled samples:37941   AUC:0.863
Numer of labeled samples:37515   AUC:0.864
Numer of labeled samples:38430   AUC:0.864
Numer of labeled samples:38233   AUC:0.864
Numer of labeled samples:39084   AUC:0.868
Numer of labeled samples:39250   AUC:0.869
Numer of labeled samples:39996   AUC:0.869
Numer of labeled samples:40030   AUC:0.871
Numer of labeled samples:40044   AUC:0.870
Numer of labeled samples:41122   AUC:0.870
Numer of labeled samples:40752   AUC:0.871
Numer of labeled samples:41337   AUC:0.869
Numer of labeled samples:41177   AUC:0.870
Numer of labeled samples:41599   AUC:0.870
Numer of labeled samples:41534   AUC:0.869
Numer of labeled samples:42035   AUC:0.868
Numer of labeled samples:43047   AUC:0.869
Numer of labeled samples:43211   AUC:0.867
Numer of labeled samples:43956   AUC:0.866
Numer of labeled samples:43477   AUC:0.867
Numer of labeled samples:44382   AUC:0.859
Numer of labeled samples:43963   AUC:0.865
Numer of labeled samples:45046   AUC:0.800
Numer of labeled samples:44525   AUC:0.863
Numer of labeled samples:45458   AUC:0.759
Numer of labeled samples:44854   AUC:0.858
Numer of labeled samples:45928   AUC:0.744
Numer of labeled samples:45318   AUC:0.842
Numer of labeled samples:46322   AUC:0.706
Numer of labeled samples:2585   AUC:0.853
Numer of labeled samples:45515   AUC:0.777
Numer of labeled samples:46539   AUC:0.718
Numer of labeled samples:45555   AUC:0.818
Numer of labeled samples:2382   AUC:0.850
Numer of labeled samples:43565   AUC:0.822
Numer of labeled samples:46948   AUC:0.675
Numer of labeled samples:44698   AUC:0.813
Numer of labeled samples:46141   AUC:0.812
Numer of labeled samples:44658   AUC:0.806
Numer of labeled samples:46721   AUC:0.722
Numer of labeled samples:46690   AUC:0.634
Numer of labeled samples:46472   AUC:0.726
Numer of labeled samples:2344   AUC:0.828
Numer of labeled samples:46724   AUC:0.677
Numer of labeled samples:47063   AUC:0.660
Numer of labeled samples:45855   AUC:0.817
Numer of labeled samples:46983   AUC:0.667
Numer of labeled samples:46150   AUC:0.756
Numer of labeled samples:1691   AUC:0.837
Numer of labeled samples:46657   AUC:0.711
Numer of labeled samples:47170   AUC:0.665
Numer of labeled samples:41958   AUC:0.809
Numer of labeled samples:1968   AUC:0.835
Numer of labeled samples:3488   AUC:0.806
Numer of labeled samples:2769   AUC:0.826
Numer of labeled samples:44644   AUC:0.804
Numer of labeled samples:46504   AUC:0.639
Numer of labeled samples:8033   AUC:0.790
Numer of labeled samples:4796   AUC:0.816
Numer of labeled samples:4929   AUC:0.796
Numer of labeled samples:6432   AUC:0.813
Numer of labeled samples:5613   AUC:0.802
Numer of labeled samples:7711   AUC:0.812
Numer of labeled samples:7166   AUC:0.805
Numer of labeled samples:7919   AUC:0.820
Numer of labeled samples:7824   AUC:0.814
Numer of labeled samples:7988   AUC:0.819
Numer of labeled samples:8133   AUC:0.818
Numer of labeled samples:7716   AUC:0.822
Numer of labeled samples:8233   AUC:0.812
Numer of labeled samples:7815   AUC:0.825
