Numer of labeled samples:40184   AUC:0.844
Numer of labeled samples:41145   AUC:0.853
Numer of labeled samples:40230   AUC:0.860
Numer of labeled samples:40698   AUC:0.860
Numer of labeled samples:40184   AUC:0.852
Numer of labeled samples:40469   AUC:0.874
Numer of labeled samples:39930   AUC:0.861
Numer of labeled samples:40662   AUC:0.864
Numer of labeled samples:40061   AUC:0.862
Numer of labeled samples:40569   AUC:0.835
Numer of labeled samples:40060   AUC:0.857
Numer of labeled samples:40767   AUC:0.837
Numer of labeled samples:40121   AUC:0.851
Numer of labeled samples:40830   AUC:0.853
Numer of labeled samples:40252   AUC:0.853
Numer of labeled samples:40957   AUC:0.862
Numer of labeled samples:40301   AUC:0.849
Numer of labeled samples:41048   AUC:0.850
Numer of labeled samples:39783   AUC:0.839
Numer of labeled samples:40559   AUC:0.843
Numer of labeled samples:40200   AUC:0.843
Numer of labeled samples:40617   AUC:0.849
Numer of labeled samples:40168   AUC:0.821
Numer of labeled samples:41273   AUC:0.841
Numer of labeled samples:40067   AUC:0.847
Numer of labeled samples:40208   AUC:0.843
Numer of labeled samples:40080   AUC:0.859
Numer of labeled samples:40679   AUC:0.841
Numer of labeled samples:40340   AUC:0.852
Numer of labeled samples:40862   AUC:0.837
