Epoch:0   Accuracy:23.05
Epoch:1   Accuracy:17.61
Epoch:2   Accuracy:25.35
Epoch:3   Accuracy:24.38
Epoch:4   Accuracy:31.39
Epoch:5   Accuracy:27.27
Epoch:6   Accuracy:29.90
Epoch:7   Accuracy:32.97
Epoch:8   Accuracy:29.36
Epoch:9   Accuracy:34.58
Epoch:10   Accuracy:32.89
Epoch:11   Accuracy:37.97
Epoch:12   Accuracy:40.98
Epoch:13   Accuracy:40.05
Epoch:14   Accuracy:41.17
Epoch:15   Accuracy:40.97
Epoch:16   Accuracy:42.21
Epoch:17   Accuracy:39.42
Epoch:18   Accuracy:38.56
Epoch:19   Accuracy:42.00
Epoch:20   Accuracy:42.16
Epoch:21   Accuracy:41.11
Epoch:22   Accuracy:37.29
Epoch:23   Accuracy:41.23
Epoch:24   Accuracy:43.65
Epoch:25   Accuracy:42.76
Epoch:26   Accuracy:44.16
Epoch:27   Accuracy:43.43
Epoch:28   Accuracy:44.92
Epoch:29   Accuracy:42.83
Epoch:30   Accuracy:45.24
Epoch:31   Accuracy:46.39
Epoch:32   Accuracy:44.48
Epoch:33   Accuracy:47.53
Epoch:34   Accuracy:45.53
Epoch:35   Accuracy:46.79
Epoch:36   Accuracy:47.63
Epoch:37   Accuracy:47.11
Epoch:38   Accuracy:45.34
Epoch:39   Accuracy:46.40
Epoch:40   Accuracy:43.49
Epoch:41   Accuracy:43.66
Epoch:42   Accuracy:43.05
Epoch:43   Accuracy:46.31
Epoch:44   Accuracy:45.37
Epoch:45   Accuracy:44.46
Epoch:46   Accuracy:44.93
Epoch:47   Accuracy:45.80
Epoch:48   Accuracy:42.27
Epoch:49   Accuracy:44.13
Epoch:50   Accuracy:45.45
Epoch:51   Accuracy:44.47
Epoch:52   Accuracy:43.97
Epoch:53   Accuracy:45.55
Epoch:54   Accuracy:45.94
Epoch:55   Accuracy:44.49
Epoch:56   Accuracy:47.13
Epoch:57   Accuracy:45.15
Epoch:58   Accuracy:44.93
Epoch:59   Accuracy:42.42
Epoch:60   Accuracy:44.76
Epoch:61   Accuracy:45.24
Epoch:62   Accuracy:42.61
Epoch:63   Accuracy:42.87
Epoch:64   Accuracy:41.68
Epoch:65   Accuracy:42.99
Epoch:66   Accuracy:38.48
Epoch:67   Accuracy:42.96
Epoch:68   Accuracy:43.59
Epoch:69   Accuracy:43.23
Epoch:70   Accuracy:42.86
Epoch:71   Accuracy:44.51
Epoch:72   Accuracy:39.84
Epoch:73   Accuracy:40.97
Epoch:74   Accuracy:44.10
Epoch:75   Accuracy:38.64
Epoch:76   Accuracy:40.20
Epoch:77   Accuracy:43.34
Epoch:78   Accuracy:43.87
Epoch:79   Accuracy:44.60
Epoch:80   Accuracy:40.70
Epoch:81   Accuracy:46.57
Epoch:82   Accuracy:39.38
Epoch:83   Accuracy:44.28
Epoch:84   Accuracy:39.81
Epoch:85   Accuracy:42.27
Epoch:86   Accuracy:41.38
Epoch:87   Accuracy:38.38
Epoch:88   Accuracy:38.02
Epoch:89   Accuracy:46.24
Epoch:90   Accuracy:44.60
Epoch:91   Accuracy:43.42
Epoch:92   Accuracy:41.26
Epoch:93   Accuracy:47.17
Epoch:94   Accuracy:45.83
Epoch:95   Accuracy:43.62
Epoch:96   Accuracy:46.58
Epoch:97   Accuracy:45.77
Epoch:98   Accuracy:47.57
Epoch:99   Accuracy:45.47
Epoch:100   Accuracy:44.38
