Numer of labeled samples:12670   AUC:0.780
Numer of labeled samples:12539   AUC:0.786
Numer of labeled samples:24285   AUC:0.819
Numer of labeled samples:23662   AUC:0.829
Numer of labeled samples:27304   AUC:0.832
Numer of labeled samples:27829   AUC:0.837
Numer of labeled samples:30262   AUC:0.836
Numer of labeled samples:29531   AUC:0.839
Numer of labeled samples:31276   AUC:0.838
Numer of labeled samples:31215   AUC:0.839
Numer of labeled samples:32436   AUC:0.840
Numer of labeled samples:32674   AUC:0.835
Numer of labeled samples:34039   AUC:0.839
Numer of labeled samples:34430   AUC:0.839
Numer of labeled samples:34969   AUC:0.837
Numer of labeled samples:35210   AUC:0.839
Numer of labeled samples:35996   AUC:0.839
Numer of labeled samples:36121   AUC:0.840
Numer of labeled samples:36872   AUC:0.841
Numer of labeled samples:36878   AUC:0.840
Numer of labeled samples:38238   AUC:0.844
Numer of labeled samples:37634   AUC:0.840
Numer of labeled samples:39813   AUC:0.842
Numer of labeled samples:39211   AUC:0.838
Numer of labeled samples:40504   AUC:0.844
Numer of labeled samples:40491   AUC:0.835
Numer of labeled samples:41135   AUC:0.845
Numer of labeled samples:41494   AUC:0.835
Numer of labeled samples:41945   AUC:0.846
Numer of labeled samples:42516   AUC:0.838
Numer of labeled samples:43164   AUC:0.845
Numer of labeled samples:43554   AUC:0.838
Numer of labeled samples:43992   AUC:0.841
Numer of labeled samples:43851   AUC:0.835
Numer of labeled samples:44016   AUC:0.840
Numer of labeled samples:43977   AUC:0.835
Numer of labeled samples:45037   AUC:0.833
Numer of labeled samples:44890   AUC:0.827
Numer of labeled samples:44558   AUC:0.831
Numer of labeled samples:44277   AUC:0.832
Numer of labeled samples:45189   AUC:0.809
Numer of labeled samples:45226   AUC:0.832
Numer of labeled samples:45740   AUC:0.794
Numer of labeled samples:45118   AUC:0.826
Numer of labeled samples:46044   AUC:0.732
Numer of labeled samples:45696   AUC:0.822
Numer of labeled samples:46561   AUC:0.688
Numer of labeled samples:2577   AUC:0.830
Numer of labeled samples:45564   AUC:0.812
Numer of labeled samples:46917   AUC:0.723
Numer of labeled samples:3376   AUC:0.815
