Epoch:0   Accuracy:64.28
Epoch:1   Accuracy:73.54
Epoch:2   Accuracy:77.09
Epoch:3   Accuracy:77.68
Epoch:4   Accuracy:76.16
Epoch:5   Accuracy:77.93
Epoch:6   Accuracy:74.89
Epoch:7   Accuracy:72.94
Epoch:8   Accuracy:73.74
Epoch:9   Accuracy:74.73
Epoch:10   Accuracy:81.86
Epoch:11   Accuracy:82.25
Epoch:12   Accuracy:83.01
Epoch:13   Accuracy:82.74
Epoch:14   Accuracy:83.69
Epoch:15   Accuracy:84.12
Epoch:16   Accuracy:84.22
Epoch:17   Accuracy:84.08
Epoch:18   Accuracy:84.50
Epoch:19   Accuracy:84.29
Epoch:20   Accuracy:84.71
Epoch:21   Accuracy:84.44
Epoch:22   Accuracy:84.57
Epoch:23   Accuracy:84.87
Epoch:24   Accuracy:84.20
Epoch:25   Accuracy:84.83
Epoch:26   Accuracy:84.74
Epoch:27   Accuracy:84.57
Epoch:28   Accuracy:84.72
Epoch:29   Accuracy:83.86
Epoch:30   Accuracy:85.11
Epoch:31   Accuracy:84.41
Epoch:32   Accuracy:84.84
Epoch:33   Accuracy:84.99
Epoch:34   Accuracy:84.60
Epoch:35   Accuracy:84.73
Epoch:36   Accuracy:84.40
Epoch:37   Accuracy:84.37
Epoch:38   Accuracy:85.07
Epoch:39   Accuracy:84.49
Epoch:40   Accuracy:84.24
Epoch:41   Accuracy:83.94
Epoch:42   Accuracy:85.06
Epoch:43   Accuracy:84.36
Epoch:44   Accuracy:84.08
Epoch:45   Accuracy:84.40
Epoch:46   Accuracy:84.51
Epoch:47   Accuracy:84.60
Epoch:48   Accuracy:84.58
Epoch:49   Accuracy:84.70
Epoch:50   Accuracy:85.14
Epoch:51   Accuracy:84.73
Epoch:52   Accuracy:84.16
Epoch:53   Accuracy:84.37
Epoch:54   Accuracy:84.29
Epoch:55   Accuracy:84.60
Epoch:56   Accuracy:83.87
Epoch:57   Accuracy:84.52
Epoch:58   Accuracy:84.03
Epoch:59   Accuracy:84.26
Epoch:60   Accuracy:84.42
Epoch:61   Accuracy:84.59
Epoch:62   Accuracy:84.58
Epoch:63   Accuracy:84.24
Epoch:64   Accuracy:84.51
Epoch:65   Accuracy:84.90
Epoch:66   Accuracy:84.18
Epoch:67   Accuracy:84.47
Epoch:68   Accuracy:84.48
Epoch:69   Accuracy:84.72
Epoch:70   Accuracy:84.27
Epoch:71   Accuracy:84.69
Epoch:72   Accuracy:84.33
Epoch:73   Accuracy:84.49
Epoch:74   Accuracy:84.11
Epoch:75   Accuracy:85.01
Epoch:76   Accuracy:84.20
Epoch:77   Accuracy:84.84
Epoch:78   Accuracy:84.93
Epoch:79   Accuracy:84.51
Epoch:80   Accuracy:85.09
Epoch:81   Accuracy:84.28
Epoch:82   Accuracy:84.96
Epoch:83   Accuracy:84.28
Epoch:84   Accuracy:85.21
Epoch:85   Accuracy:84.54
Epoch:86   Accuracy:84.38
Epoch:87   Accuracy:84.46
Epoch:88   Accuracy:84.07
Epoch:89   Accuracy:84.71
Epoch:90   Accuracy:83.91
Epoch:91   Accuracy:84.86
Epoch:92   Accuracy:84.09
Epoch:93   Accuracy:84.33
Epoch:94   Accuracy:83.32
Epoch:95   Accuracy:84.06
Epoch:96   Accuracy:84.45
Epoch:97   Accuracy:84.37
Epoch:98   Accuracy:84.26
Epoch:99   Accuracy:84.36
Epoch:100   Accuracy:84.55
