Numer of labeled samples:24592   AUC:0.958
Numer of labeled samples:23713   AUC:0.951
Numer of labeled samples:24958   AUC:0.940
Numer of labeled samples:25054   AUC:0.945
Numer of labeled samples:24661   AUC:0.933
Numer of labeled samples:23565   AUC:0.935
Numer of labeled samples:22798   AUC:0.934
Numer of labeled samples:23514   AUC:0.926
Numer of labeled samples:23018   AUC:0.941
Numer of labeled samples:22657   AUC:0.943
Numer of labeled samples:24058   AUC:0.928
Numer of labeled samples:23744   AUC:0.936
Numer of labeled samples:23167   AUC:0.933
Numer of labeled samples:22764   AUC:0.934
Numer of labeled samples:23283   AUC:0.943
Numer of labeled samples:22269   AUC:0.936
Numer of labeled samples:22624   AUC:0.939
Numer of labeled samples:22343   AUC:0.940
Numer of labeled samples:22120   AUC:0.920
Numer of labeled samples:22765   AUC:0.928
Numer of labeled samples:22408   AUC:0.936
Numer of labeled samples:22853   AUC:0.933
Numer of labeled samples:22150   AUC:0.930
Numer of labeled samples:22765   AUC:0.939
Numer of labeled samples:21742   AUC:0.931
Numer of labeled samples:21377   AUC:0.931
Numer of labeled samples:21481   AUC:0.923
Numer of labeled samples:21985   AUC:0.926
Numer of labeled samples:21598   AUC:0.926
Numer of labeled samples:22186   AUC:0.939
Numer of labeled samples:21607   AUC:0.916
Numer of labeled samples:21805   AUC:0.924
Numer of labeled samples:20319   AUC:0.908
Numer of labeled samples:20403   AUC:0.914
Numer of labeled samples:19501   AUC:0.911
Numer of labeled samples:20199   AUC:0.901
Numer of labeled samples:20088   AUC:0.915
Numer of labeled samples:20340   AUC:0.921
Numer of labeled samples:20516   AUC:0.918
Numer of labeled samples:20544   AUC:0.924
Numer of labeled samples:19748   AUC:0.915
Numer of labeled samples:20409   AUC:0.914
Numer of labeled samples:20422   AUC:0.918
Numer of labeled samples:20265   AUC:0.927
Numer of labeled samples:20333   AUC:0.912
Numer of labeled samples:20208   AUC:0.916
Numer of labeled samples:20904   AUC:0.913
Numer of labeled samples:20873   AUC:0.922
Numer of labeled samples:20514   AUC:0.911
Numer of labeled samples:19809   AUC:0.908
Numer of labeled samples:19694   AUC:0.900
Numer of labeled samples:19935   AUC:0.906
Numer of labeled samples:20144   AUC:0.904
Numer of labeled samples:20045   AUC:0.907
Numer of labeled samples:19471   AUC:0.904
Numer of labeled samples:19357   AUC:0.908
Numer of labeled samples:19344   AUC:0.892
Numer of labeled samples:20034   AUC:0.912
Numer of labeled samples:19884   AUC:0.894
Numer of labeled samples:19435   AUC:0.901
Numer of labeled samples:19438   AUC:0.888
Numer of labeled samples:19506   AUC:0.908
Numer of labeled samples:19286   AUC:0.894
Numer of labeled samples:19322   AUC:0.895
Numer of labeled samples:19185   AUC:0.896
Numer of labeled samples:19340   AUC:0.889
Numer of labeled samples:19421   AUC:0.895
Numer of labeled samples:19260   AUC:0.904
Numer of labeled samples:19049   AUC:0.890
Numer of labeled samples:18985   AUC:0.894
Numer of labeled samples:19116   AUC:0.891
Numer of labeled samples:18674   AUC:0.884
Numer of labeled samples:19228   AUC:0.892
Numer of labeled samples:19107   AUC:0.898
Numer of labeled samples:19264   AUC:0.896
Numer of labeled samples:19282   AUC:0.890
Numer of labeled samples:19545   AUC:0.905
Numer of labeled samples:19054   AUC:0.895
Numer of labeled samples:19739   AUC:0.898
Numer of labeled samples:19528   AUC:0.900
Numer of labeled samples:18972   AUC:0.885
Numer of labeled samples:19295   AUC:0.903
Numer of labeled samples:19150   AUC:0.901
Numer of labeled samples:19347   AUC:0.891
Numer of labeled samples:19262   AUC:0.891
Numer of labeled samples:19244   AUC:0.896
Numer of labeled samples:18948   AUC:0.892
Numer of labeled samples:18892   AUC:0.894
Numer of labeled samples:18379   AUC:0.880
Numer of labeled samples:18567   AUC:0.875
Numer of labeled samples:18652   AUC:0.889
Numer of labeled samples:19003   AUC:0.883
Numer of labeled samples:18600   AUC:0.873
Numer of labeled samples:18147   AUC:0.873
Numer of labeled samples:18058   AUC:0.860
Numer of labeled samples:18134   AUC:0.877
Numer of labeled samples:18393   AUC:0.857
Numer of labeled samples:18199   AUC:0.841
Numer of labeled samples:18079   AUC:0.852
Numer of labeled samples:18055   AUC:0.839
Numer of labeled samples:18300   AUC:0.853
Numer of labeled samples:17928   AUC:0.837
Numer of labeled samples:18239   AUC:0.858
Numer of labeled samples:18233   AUC:0.847
Numer of labeled samples:18646   AUC:0.872
Numer of labeled samples:18440   AUC:0.851
Numer of labeled samples:18279   AUC:0.857
Numer of labeled samples:18385   AUC:0.865
Numer of labeled samples:17799   AUC:0.852
Numer of labeled samples:18117   AUC:0.859
Numer of labeled samples:17981   AUC:0.850
Numer of labeled samples:18128   AUC:0.854
Numer of labeled samples:17970   AUC:0.850
Numer of labeled samples:18006   AUC:0.844
Numer of labeled samples:18150   AUC:0.855
Numer of labeled samples:17832   AUC:0.853
Numer of labeled samples:18066   AUC:0.854
Numer of labeled samples:17794   AUC:0.843
Numer of labeled samples:18286   AUC:0.836
Numer of labeled samples:17664   AUC:0.846
Numer of labeled samples:18031   AUC:0.854
Numer of labeled samples:17787   AUC:0.843
Numer of labeled samples:17993   AUC:0.858
Numer of labeled samples:17686   AUC:0.848
Numer of labeled samples:18106   AUC:0.862
Numer of labeled samples:17396   AUC:0.846
Numer of labeled samples:17500   AUC:0.842
Numer of labeled samples:16769   AUC:0.828
Numer of labeled samples:17539   AUC:0.847
Numer of labeled samples:17116   AUC:0.822
Numer of labeled samples:18215   AUC:0.848
Numer of labeled samples:17474   AUC:0.841
Numer of labeled samples:18218   AUC:0.864
Numer of labeled samples:17667   AUC:0.841
Numer of labeled samples:17787   AUC:0.840
Numer of labeled samples:17443   AUC:0.845
Numer of labeled samples:18253   AUC:0.837
Numer of labeled samples:17454   AUC:0.839
Numer of labeled samples:17648   AUC:0.841
Numer of labeled samples:17085   AUC:0.830
Numer of labeled samples:17963   AUC:0.852
Numer of labeled samples:16752   AUC:0.833
Numer of labeled samples:18080   AUC:0.855
Numer of labeled samples:17629   AUC:0.859
Numer of labeled samples:17502   AUC:0.850
Numer of labeled samples:18080   AUC:0.857
Numer of labeled samples:17602   AUC:0.833
Numer of labeled samples:16982   AUC:0.820
Numer of labeled samples:17304   AUC:0.844
Numer of labeled samples:16985   AUC:0.823
Numer of labeled samples:17978   AUC:0.850
Numer of labeled samples:17578   AUC:0.824
Numer of labeled samples:17621   AUC:0.845
Numer of labeled samples:17620   AUC:0.845
Numer of labeled samples:17920   AUC:0.855
Numer of labeled samples:17772   AUC:0.821
Numer of labeled samples:17386   AUC:0.833
Numer of labeled samples:17294   AUC:0.819
Numer of labeled samples:17832   AUC:0.857
Numer of labeled samples:17557   AUC:0.836
Numer of labeled samples:17960   AUC:0.835
Numer of labeled samples:17510   AUC:0.834
Numer of labeled samples:17853   AUC:0.856
Numer of labeled samples:16965   AUC:0.833
Numer of labeled samples:18201   AUC:0.857
Numer of labeled samples:17483   AUC:0.843
Numer of labeled samples:17005   AUC:0.839
Numer of labeled samples:17003   AUC:0.830
Numer of labeled samples:16484   AUC:0.843
Numer of labeled samples:16388   AUC:0.810
Numer of labeled samples:18197   AUC:0.851
Numer of labeled samples:17401   AUC:0.837
Numer of labeled samples:17354   AUC:0.842
Numer of labeled samples:16957   AUC:0.828
Numer of labeled samples:17220   AUC:0.842
Numer of labeled samples:16654   AUC:0.820
Numer of labeled samples:17683   AUC:0.849
Numer of labeled samples:17023   AUC:0.834
Numer of labeled samples:18159   AUC:0.856
Numer of labeled samples:17242   AUC:0.850
Numer of labeled samples:17928   AUC:0.853
Numer of labeled samples:17468   AUC:0.844
