Epoch:0   Accuracy:49.30
Epoch:1   Accuracy:56.92
Epoch:2   Accuracy:63.45
Epoch:3   Accuracy:65.47
Epoch:4   Accuracy:67.57
Epoch:5   Accuracy:70.58
Epoch:6   Accuracy:73.76
Epoch:7   Accuracy:73.68
Epoch:8   Accuracy:77.03
Epoch:9   Accuracy:77.74
Epoch:10   Accuracy:78.70
Epoch:11   Accuracy:78.40
Epoch:12   Accuracy:79.72
Epoch:13   Accuracy:79.78
Epoch:14   Accuracy:80.99
Epoch:15   Accuracy:81.52
Epoch:16   Accuracy:82.40
Epoch:17   Accuracy:82.59
Epoch:18   Accuracy:82.68
Epoch:19   Accuracy:83.97
Epoch:20   Accuracy:84.30
Epoch:21   Accuracy:83.35
Epoch:22   Accuracy:84.42
Epoch:23   Accuracy:84.67
Epoch:24   Accuracy:85.51
Epoch:25   Accuracy:85.26
Epoch:26   Accuracy:86.01
Epoch:27   Accuracy:86.12
Epoch:28   Accuracy:86.18
Epoch:29   Accuracy:87.61
Epoch:30   Accuracy:87.82
Epoch:31   Accuracy:87.21
Epoch:32   Accuracy:88.44
Epoch:33   Accuracy:88.37
Epoch:34   Accuracy:89.03
Epoch:35   Accuracy:88.92
Epoch:36   Accuracy:88.84
Epoch:37   Accuracy:88.82
Epoch:38   Accuracy:88.46
Epoch:39   Accuracy:89.73
Epoch:40   Accuracy:89.89
Epoch:41   Accuracy:90.46
Epoch:42   Accuracy:90.15
Epoch:43   Accuracy:89.58
Epoch:44   Accuracy:90.03
Epoch:45   Accuracy:90.15
Epoch:46   Accuracy:89.99
Epoch:47   Accuracy:90.17
Epoch:48   Accuracy:90.57
Epoch:49   Accuracy:90.02
Epoch:50   Accuracy:90.69
Epoch:51   Accuracy:91.00
Epoch:52   Accuracy:90.93
Epoch:53   Accuracy:89.18
Epoch:54   Accuracy:90.55
Epoch:55   Accuracy:91.38
Epoch:56   Accuracy:91.35
Epoch:57   Accuracy:91.61
Epoch:58   Accuracy:91.76
Epoch:59   Accuracy:90.84
Epoch:60   Accuracy:91.25
Epoch:61   Accuracy:91.40
Epoch:62   Accuracy:91.37
Epoch:63   Accuracy:91.94
Epoch:64   Accuracy:91.57
Epoch:65   Accuracy:91.40
Epoch:66   Accuracy:91.84
Epoch:67   Accuracy:90.97
Epoch:68   Accuracy:91.42
Epoch:69   Accuracy:91.38
Epoch:70   Accuracy:92.13
Epoch:71   Accuracy:91.70
Epoch:72   Accuracy:92.29
Epoch:73   Accuracy:92.00
Epoch:74   Accuracy:92.24
Epoch:75   Accuracy:91.48
Epoch:76   Accuracy:92.18
Epoch:77   Accuracy:92.02
Epoch:78   Accuracy:91.89
Epoch:79   Accuracy:92.36
Epoch:80   Accuracy:92.20
Epoch:81   Accuracy:92.44
Epoch:82   Accuracy:91.80
Epoch:83   Accuracy:92.06
Epoch:84   Accuracy:92.16
Epoch:85   Accuracy:92.13
Epoch:86   Accuracy:92.37
Epoch:87   Accuracy:92.07
Epoch:88   Accuracy:92.01
Epoch:89   Accuracy:92.29
Epoch:90   Accuracy:91.06
Epoch:91   Accuracy:91.91
Epoch:92   Accuracy:92.19
Epoch:93   Accuracy:91.90
Epoch:94   Accuracy:92.22
Epoch:95   Accuracy:92.52
Epoch:96   Accuracy:92.36
Epoch:97   Accuracy:92.57
Epoch:98   Accuracy:92.50
Epoch:99   Accuracy:92.54
Epoch:100   Accuracy:92.85
