Numer of labeled samples:43298   AUC:0.540
Numer of labeled samples:46249   AUC:0.510
Numer of labeled samples:38104   AUC:0.725
Numer of labeled samples:38528   AUC:0.746
Numer of labeled samples:40248   AUC:0.770
Numer of labeled samples:40263   AUC:0.786
Numer of labeled samples:40292   AUC:0.797
Numer of labeled samples:41070   AUC:0.796
Numer of labeled samples:41289   AUC:0.725
Numer of labeled samples:39896   AUC:0.782
Numer of labeled samples:40851   AUC:0.754
Numer of labeled samples:40560   AUC:0.709
Numer of labeled samples:41099   AUC:0.737
Numer of labeled samples:40203   AUC:0.753
Numer of labeled samples:41202   AUC:0.732
Numer of labeled samples:40801   AUC:0.755
Numer of labeled samples:41393   AUC:0.715
Numer of labeled samples:40847   AUC:0.755
Numer of labeled samples:41237   AUC:0.702
Numer of labeled samples:40787   AUC:0.733
Numer of labeled samples:41577   AUC:0.707
Numer of labeled samples:41072   AUC:0.710
Numer of labeled samples:41506   AUC:0.719
Numer of labeled samples:41262   AUC:0.720
Numer of labeled samples:41583   AUC:0.700
Numer of labeled samples:41488   AUC:0.726
Numer of labeled samples:41665   AUC:0.655
Numer of labeled samples:41322   AUC:0.679
Numer of labeled samples:41573   AUC:0.694
Numer of labeled samples:41481   AUC:0.734
Numer of labeled samples:41685   AUC:0.680
Numer of labeled samples:41506   AUC:0.710
Numer of labeled samples:41714   AUC:0.728
Numer of labeled samples:41589   AUC:0.690
Numer of labeled samples:41691   AUC:0.703
Numer of labeled samples:41673   AUC:0.712
Numer of labeled samples:41761   AUC:0.697
Numer of labeled samples:41643   AUC:0.649
Numer of labeled samples:41749   AUC:0.732
Numer of labeled samples:41727   AUC:0.726
Numer of labeled samples:41752   AUC:0.685
Numer of labeled samples:41725   AUC:0.665
Numer of labeled samples:41745   AUC:0.678
Numer of labeled samples:41726   AUC:0.674
Numer of labeled samples:41728   AUC:0.625
Numer of labeled samples:41712   AUC:0.688
Numer of labeled samples:41776   AUC:0.687
Numer of labeled samples:41672   AUC:0.654
Numer of labeled samples:41738   AUC:0.645
Numer of labeled samples:41756   AUC:0.661
Numer of labeled samples:41760   AUC:0.687
Numer of labeled samples:41709   AUC:0.668
Numer of labeled samples:41782   AUC:0.666
Numer of labeled samples:41724   AUC:0.681
Numer of labeled samples:41739   AUC:0.659
Numer of labeled samples:41711   AUC:0.675
Numer of labeled samples:41753   AUC:0.689
Numer of labeled samples:41757   AUC:0.687
Numer of labeled samples:41757   AUC:0.662
Numer of labeled samples:41730   AUC:0.634
Numer of labeled samples:41753   AUC:0.688
Numer of labeled samples:41750   AUC:0.730
Numer of labeled samples:41759   AUC:0.704
Numer of labeled samples:41728   AUC:0.661
Numer of labeled samples:41729   AUC:0.649
Numer of labeled samples:41747   AUC:0.642
Numer of labeled samples:41766   AUC:0.743
Numer of labeled samples:41732   AUC:0.674
Numer of labeled samples:41767   AUC:0.680
Numer of labeled samples:41772   AUC:0.712
Numer of labeled samples:41757   AUC:0.681
Numer of labeled samples:41746   AUC:0.691
Numer of labeled samples:41750   AUC:0.677
Numer of labeled samples:41751   AUC:0.668
Numer of labeled samples:41765   AUC:0.682
