Numer of labeled samples:12529   AUC:0.871
Numer of labeled samples:11175   AUC:0.880
Numer of labeled samples:21281   AUC:0.881
Numer of labeled samples:21519   AUC:0.889
Numer of labeled samples:24205   AUC:0.891
Numer of labeled samples:24474   AUC:0.892
Numer of labeled samples:26953   AUC:0.886
Numer of labeled samples:26625   AUC:0.891
Numer of labeled samples:27880   AUC:0.906
Numer of labeled samples:28048   AUC:0.904
Numer of labeled samples:27972   AUC:0.908
Numer of labeled samples:30667   AUC:0.908
Numer of labeled samples:34845   AUC:0.901
Numer of labeled samples:30452   AUC:0.910
Numer of labeled samples:30202   AUC:0.915
Numer of labeled samples:31684   AUC:0.919
Numer of labeled samples:31381   AUC:0.914
Numer of labeled samples:30335   AUC:0.911
Numer of labeled samples:30540   AUC:0.921
Numer of labeled samples:28871   AUC:0.922
Numer of labeled samples:29578   AUC:0.927
Numer of labeled samples:32713   AUC:0.912
Numer of labeled samples:30493   AUC:0.917
Numer of labeled samples:29317   AUC:0.927
Numer of labeled samples:30001   AUC:0.929
Numer of labeled samples:30612   AUC:0.918
Numer of labeled samples:29808   AUC:0.924
Numer of labeled samples:30703   AUC:0.921
Numer of labeled samples:28885   AUC:0.934
Numer of labeled samples:29329   AUC:0.932
Numer of labeled samples:25748   AUC:0.932
Numer of labeled samples:28294   AUC:0.938
Numer of labeled samples:27137   AUC:0.943
Numer of labeled samples:23727   AUC:0.938
Numer of labeled samples:23472   AUC:0.935
Numer of labeled samples:25565   AUC:0.945
Numer of labeled samples:24480   AUC:0.944
Numer of labeled samples:24126   AUC:0.941
Numer of labeled samples:24557   AUC:0.949
Numer of labeled samples:24560   AUC:0.948
Numer of labeled samples:24198   AUC:0.954
Numer of labeled samples:24760   AUC:0.950
Numer of labeled samples:24539   AUC:0.954
Numer of labeled samples:23936   AUC:0.957
Numer of labeled samples:23819   AUC:0.959
Numer of labeled samples:25681   AUC:0.955
Numer of labeled samples:23661   AUC:0.961
Numer of labeled samples:22688   AUC:0.960
Numer of labeled samples:22929   AUC:0.957
Numer of labeled samples:23198   AUC:0.958
Numer of labeled samples:21943   AUC:0.955
Numer of labeled samples:21736   AUC:0.957
Numer of labeled samples:21026   AUC:0.961
Numer of labeled samples:20424   AUC:0.964
Numer of labeled samples:21178   AUC:0.965
Numer of labeled samples:20872   AUC:0.960
Numer of labeled samples:21111   AUC:0.965
Numer of labeled samples:20670   AUC:0.966
Numer of labeled samples:20520   AUC:0.967
Numer of labeled samples:20177   AUC:0.968
Numer of labeled samples:20989   AUC:0.969
Numer of labeled samples:19524   AUC:0.968
Numer of labeled samples:20557   AUC:0.966
Numer of labeled samples:20230   AUC:0.966
Numer of labeled samples:19941   AUC:0.970
Numer of labeled samples:19701   AUC:0.968
Numer of labeled samples:20076   AUC:0.973
Numer of labeled samples:19707   AUC:0.973
Numer of labeled samples:19717   AUC:0.969
Numer of labeled samples:20427   AUC:0.972
Numer of labeled samples:19555   AUC:0.970
Numer of labeled samples:20027   AUC:0.971
Numer of labeled samples:20048   AUC:0.973
Numer of labeled samples:19711   AUC:0.968
Numer of labeled samples:18841   AUC:0.969
Numer of labeled samples:19158   AUC:0.974
Numer of labeled samples:18968   AUC:0.974
Numer of labeled samples:18254   AUC:0.972
Numer of labeled samples:18573   AUC:0.974
Numer of labeled samples:19514   AUC:0.972
Numer of labeled samples:18714   AUC:0.972
Numer of labeled samples:17894   AUC:0.975
Numer of labeled samples:18851   AUC:0.975
Numer of labeled samples:18694   AUC:0.974
Numer of labeled samples:18781   AUC:0.977
Numer of labeled samples:18237   AUC:0.976
Numer of labeled samples:18400   AUC:0.971
Numer of labeled samples:17754   AUC:0.974
Numer of labeled samples:19410   AUC:0.975
Numer of labeled samples:17825   AUC:0.976
Numer of labeled samples:17615   AUC:0.977
Numer of labeled samples:18412   AUC:0.977
Numer of labeled samples:15527   AUC:0.980
Numer of labeled samples:17758   AUC:0.975
Numer of labeled samples:14936   AUC:0.979
Numer of labeled samples:14433   AUC:0.979
Numer of labeled samples:14251   AUC:0.980
Numer of labeled samples:14313   AUC:0.975
Numer of labeled samples:14375   AUC:0.979
Numer of labeled samples:14283   AUC:0.973
Numer of labeled samples:14055   AUC:0.975
Numer of labeled samples:13997   AUC:0.978
Numer of labeled samples:14248   AUC:0.977
Numer of labeled samples:14241   AUC:0.980
Numer of labeled samples:14028   AUC:0.980
Numer of labeled samples:13975   AUC:0.980
Numer of labeled samples:13877   AUC:0.978
Numer of labeled samples:14079   AUC:0.980
Numer of labeled samples:14004   AUC:0.983
Numer of labeled samples:14071   AUC:0.979
Numer of labeled samples:13995   AUC:0.981
Numer of labeled samples:13933   AUC:0.982
Numer of labeled samples:14009   AUC:0.981
Numer of labeled samples:13902   AUC:0.978
Numer of labeled samples:13829   AUC:0.979
Numer of labeled samples:13906   AUC:0.979
Numer of labeled samples:13929   AUC:0.978
Numer of labeled samples:13985   AUC:0.981
Numer of labeled samples:13897   AUC:0.982
Numer of labeled samples:13820   AUC:0.979
Numer of labeled samples:13782   AUC:0.978
Numer of labeled samples:13799   AUC:0.979
Numer of labeled samples:13648   AUC:0.978
Numer of labeled samples:13893   AUC:0.978
Numer of labeled samples:13817   AUC:0.984
Numer of labeled samples:13843   AUC:0.983
Numer of labeled samples:13761   AUC:0.983
Numer of labeled samples:13714   AUC:0.984
Numer of labeled samples:13736   AUC:0.983
Numer of labeled samples:13803   AUC:0.983
Numer of labeled samples:13837   AUC:0.983
Numer of labeled samples:13890   AUC:0.984
Numer of labeled samples:13810   AUC:0.982
Numer of labeled samples:13872   AUC:0.980
Numer of labeled samples:13667   AUC:0.980
Numer of labeled samples:13844   AUC:0.980
Numer of labeled samples:13887   AUC:0.983
Numer of labeled samples:13657   AUC:0.983
Numer of labeled samples:13714   AUC:0.983
Numer of labeled samples:13804   AUC:0.981
Numer of labeled samples:13816   AUC:0.981
Numer of labeled samples:13683   AUC:0.983
Numer of labeled samples:13720   AUC:0.982
Numer of labeled samples:13732   AUC:0.983
Numer of labeled samples:13746   AUC:0.981
Numer of labeled samples:13752   AUC:0.981
Numer of labeled samples:13647   AUC:0.983
Numer of labeled samples:13742   AUC:0.983
Numer of labeled samples:13998   AUC:0.983
Numer of labeled samples:13731   AUC:0.981
Numer of labeled samples:13781   AUC:0.986
Numer of labeled samples:13861   AUC:0.983
Numer of labeled samples:13874   AUC:0.984
Numer of labeled samples:13886   AUC:0.986
Numer of labeled samples:13745   AUC:0.983
Numer of labeled samples:14077   AUC:0.983
Numer of labeled samples:13885   AUC:0.984
Numer of labeled samples:13746   AUC:0.983
Numer of labeled samples:13823   AUC:0.985
Numer of labeled samples:13889   AUC:0.985
Numer of labeled samples:13768   AUC:0.984
Numer of labeled samples:13692   AUC:0.984
Numer of labeled samples:13767   AUC:0.983
Numer of labeled samples:14000   AUC:0.983
Numer of labeled samples:13849   AUC:0.986
Numer of labeled samples:13754   AUC:0.981
Numer of labeled samples:13827   AUC:0.983
Numer of labeled samples:13763   AUC:0.985
Numer of labeled samples:13897   AUC:0.984
Numer of labeled samples:13954   AUC:0.982
Numer of labeled samples:13915   AUC:0.985
Numer of labeled samples:13876   AUC:0.985
Numer of labeled samples:13928   AUC:0.986
Numer of labeled samples:13916   AUC:0.987
Numer of labeled samples:13812   AUC:0.986
Numer of labeled samples:13976   AUC:0.986
Numer of labeled samples:13738   AUC:0.985
Numer of labeled samples:13800   AUC:0.986
Numer of labeled samples:13835   AUC:0.984
Numer of labeled samples:13698   AUC:0.986
Numer of labeled samples:13755   AUC:0.985
Numer of labeled samples:13843   AUC:0.986
